text,cleaned_text,prediction,correct_label,timestamp
please reconnect my service i already paid the outstanding balance,please reconnect my service i already paid the outstanding balance,Information,Request,2026-04-10T00:02:14.737368
can you schedule a cable burial for the wire outside my house,can you schedule a cable burial for the wire outside my house,Information,Request,2026-04-10T00:02:14.740066
what is the difference between fiber and cable internet,what is the difference between fiber and cable internet,Problem,Information,2026-04-10T00:02:14.742677
what happens if i exceed my monthly data limit,what happens if i exceed my monthly data limit,Problem,Information,2026-04-10T00:02:14.751927
what is the process for transferring service to a new address,what is the process for transferring service to a new address,Request,Information,2026-04-10T00:02:14.757263
what speeds are guaranteed during peak hours,what speeds are guaranteed during peak hours,Problem,Information,2026-04-10T00:02:14.760518
what documents are required for new account registration,what documents are required for new account registration,Request,Information,2026-04-10T00:02:14.767159
is there an option to pause my subscription temporarily,is there an option to pause my subscription temporarily,Request,Information,2026-04-10T00:02:14.769836
how do i update my personal information on the account,how do i update my personal information on the account,Request,Information,2026-04-10T00:02:14.772270
What are the promos for loyal customers this month?,What are the promos for loyal customers this month?,Problem,Information,2026-04-10T00:05:33.844892
Please provide info on how to check my remaining quota via the app.,Please provide info on how to check my remaining quota via the app.,Request,Information,2026-04-10T00:05:33.848083
How much is the installation fee for a new connection in a residential area?,How much is the installation fee for a new connection in a residential area?,Request,Information,2026-04-10T00:05:33.851211
How do I make a payment via mobile banking?,How do I make a payment via mobile banking?,Problem,Information,2026-04-10T00:05:33.854990
I want to ask why last month's billing details are different.,I want to ask why last month's billing details are different.,Request,Information,2026-04-10T00:05:33.859366
Please info the location of ATMs where I can pay my internet bill.,Please info the location of ATMs where I can pay my internet bill.,Problem,Information,2026-04-10T00:05:33.862407
I want to know the remaining active period of my subscription.,I want to know the remaining active period of my subscription.,Request,Information,2026-04-10T00:05:33.865334
How much is the fine for being one day late on payment?,How much is the fine for being one day late on payment?,Request,Information,2026-04-10T00:05:33.867711
What is the speed booster add-on feature mentioned on the website?,What is the speed booster add-on feature mentioned on the website?,Request,Information,2026-04-10T00:05:33.870059
What is the procedure to change my payment method to a credit card?,What is the procedure to change my payment method to a credit card?,Request,Information,2026-04-10T00:05:33.872308
Please send me the brochure for the internet and cable TV packages.,Please send me the brochure for the internet and cable TV packages.,Request,Information,2026-04-10T00:05:33.874549
Is there an additional fee if I want to add another TV decoder?,Is there an additional fee if I want to add another TV decoder?,Request,Information,2026-04-10T00:05:33.876765
Info regarding the FUP limit for the package I am using.,Info regarding the FUP limit for the package I am using.,Request,Information,2026-04-10T00:05:33.879015
What is my customer ID number for paying at a convenience store?,What is my customer ID number for paying at a convenience store?,Problem,Information,2026-04-10T00:05:33.881917
I want to ask if this router supports dual-band frequency.,I want to ask if this router supports dual-band frequency.,Request,Information,2026-04-10T00:05:33.884268
What documents are required for a package migration?,What documents are required for a package migration?,Request,Information,2026-04-10T00:05:33.887188
Is there a monthly fee for the modem rental?,Is there a monthly fee for the modem rental?,Problem,Information,2026-04-10T00:05:33.889495
Please process a temporary suspension of service as I am going out of town.,Please process a temporary suspension of service as I am going out of town.,Information,Request,2026-04-10T00:05:33.898591
Please reactivate my isolated service.,Please reactivate my isolated service.,Information,Request,2026-04-10T00:05:33.904439
Please schedule a site survey for a new installation.,Please schedule a site survey for a new installation.,Information,Request,2026-04-10T00:05:33.911587
"I have paid but the internet is still isolated, please check.","I have paid but the internet is still isolated, please check.",Request,Problem,2026-04-10T00:05:33.920152
The download speed does not match the package I bought.,The download speed does not match the package I bought.,Information,Problem,2026-04-10T00:05:33.923404
"I feel cheated, the promised promo was not applied.","I feel cheated, the promised promo was not applied.",Information,Problem,2026-04-10T00:05:33.931284
My TV decoder remote is broken and cannot be used.,My TV decoder remote is broken and cannot be used.,Information,Problem,2026-04-10T00:05:33.933693
Why is there no news about my new installation request?,Why is there no news about my new installation request?,Request,Problem,2026-04-10T00:05:33.936726
My payment at the convenience store keeps failing but the balance was deducted.,My payment at the convenience store keeps failing but the balance was deducted.,Request,Problem,2026-04-10T00:05:33.939086
"I can't change the wifi password myself, it keeps giving an error.","I can't change the wifi password myself, it keeps giving an error.",Request,Problem,2026-04-10T00:05:33.942831
"My upload speed is very low, far below the standard.","My upload speed is very low, far below the standard.",Information,Problem,2026-04-10T00:05:33.947284
What is the maximum number of devices I can connect to this router?,What is the maximum number of devices I can connect to this router?,Problem,Information,2026-04-10T00:13:41.762485
I need to know the official bank account numbers for wire transfers.,I need to know the official bank account numbers for wire transfers.,Request,Information,2026-04-10T00:13:41.765902
I need to deactivate my TV cable service but keep the internet active.,I need to deactivate my TV cable service but keep the internet active.,Problem,Request,2026-04-10T00:13:41.771347
Could you please reset my internet connection from your end?,Could you please reset my internet connection from your end?,Problem,Request,2026-04-10T00:13:41.773870
I've been trying to pay via the app for an hour but it keeps crashing.,I've been trying to pay via the app for an hour but it keeps crashing.,Request,Problem,2026-04-10T00:13:41.778654
Why is my Netflix buffering constantly even though I'm on a high-speed plan?,Why is my Netflix buffering constantly even though I'm on a high-speed plan?,Information,Problem,2026-04-10T00:13:41.782090
The payment was deducted from my bank account but the transaction shows failed.,The payment was deducted from my bank account but the transaction shows failed.,Request,Problem,2026-04-10T00:20:23.423752
I found a bug in the latest update affecting report generation.,I found a bug in the latest update affecting report generation.,Information,Problem,2026-04-10T00:20:23.427411
I am having trouble accessing some features of the website.,I am having trouble accessing some features of the website.,Information,Problem,2026-04-10T00:20:23.430724
"My subscription was supposed to be canceled, but I was charged again.","My subscription was supposed to be canceled, but I was charged again.",Request,Problem,2026-04-10T00:20:23.435433
The website layout is distorted on my browser.,The website layout is distorted on my browser.,Request,Problem,2026-04-10T00:20:23.440289
I am having trouble setting up my account.,I am having trouble setting up my account.,Request,Problem,2026-04-10T00:20:23.442833
I am unable to download the software on my computer.,I am unable to download the software on my computer.,Information,Problem,2026-04-10T00:20:23.447803
I am unable to access the premium features despite having a subscription.,I am unable to access the premium features despite having a subscription.,Information,Problem,2026-04-10T00:20:23.451345
I am unable to complete the checkout process on the website.,I am unable to complete the checkout process on the website.,Request,Problem,2026-04-10T00:20:23.454232
I am unable to change my email address associated with the account.,I am unable to change my email address associated with the account.,Request,Problem,2026-04-10T00:20:23.462407
I am unable to connect my social media accounts to the portal.,I am unable to connect my social media accounts to the portal.,Information,Problem,2026-04-10T00:20:23.467824
I am having trouble understanding the billing statement for this month.,I am having trouble understanding the billing statement for this month.,Problem,Information,2026-04-10T00:20:23.470713
The website is not displaying any images or graphics for me.,The website is not displaying any images or graphics for me.,Request,Problem,2026-04-10T00:20:23.473240
I am unable to add items to my shopping cart.,I am unable to add items to my shopping cart.,Information,Problem,2026-04-10T00:20:23.475731
I am unable to verify my email address.,I am unable to verify my email address.,Request,Problem,2026-04-10T00:20:23.478148
I am unable to see my purchase history on the account page.,I am unable to see my purchase history on the account page.,Request,Problem,2026-04-10T00:20:23.480595
I am having trouble with the two-factor authentication process.,I am having trouble with the two-factor authentication process.,Information,Problem,2026-04-10T00:20:23.483026
The app is consuming too much battery on my phone.,The app is consuming too much battery on my phone.,Request,Problem,2026-04-10T00:20:23.485430
I am unable to contact customer support through the chat feature.,I am unable to contact customer support through the chat feature.,Information,Problem,2026-04-10T00:20:23.487934
I have a suggestion for improving the user interface of the mobile app.,I have a suggestion for improving the user interface of the mobile app.,Problem,Information,2026-04-10T00:20:23.490349
I am unable to find the search bar on the website.,I am unable to find the search bar on the website.,Request,Information,2026-04-10T00:20:23.492806
I am unable to apply a discount code during checkout.,I am unable to apply a discount code during checkout.,Information,Problem,2026-04-10T00:20:23.495229
The mobile app is not compatible with my device's operating system.,The mobile app is not compatible with my device's operating system.,Information,Problem,2026-04-10T00:20:23.497825
I am unable to print invoices from the portal.,I am unable to print invoices from the portal.,Information,Problem,2026-04-10T00:20:23.501297
I am unable to change the theme of the mobile app.,I am unable to change the theme of the mobile app.,Request,Problem,2026-04-10T00:20:23.506281
I am unable to access the help center on the website.,I am unable to access the help center on the website.,Request,Problem,2026-04-10T00:20:23.508839
I am unable to upgrade my subscription plan.,I am unable to upgrade my subscription plan.,Information,Request,2026-04-10T00:20:23.512745
I am having trouble with the auto-fill feature on the checkout page.,I am having trouble with the auto-fill feature on the checkout page.,Information,Problem,2026-04-10T00:20:23.515947
I am unable to view the terms and conditions on the website.,I am unable to view the terms and conditions on the website.,Request,Information,2026-04-10T00:20:23.519935
I am having trouble with the search results on the web portal.,I am having trouble with the search results on the web portal.,Information,Problem,2026-04-10T00:20:23.522434
I am unable to receive SMS alerts for account activity.,I am unable to receive SMS alerts for account activity.,Request,Problem,2026-04-10T00:20:23.525101
I am having trouble with the video player on the website.,I am having trouble with the video player on the website.,Request,Problem,2026-04-10T00:20:23.528005
I am unable to see the available balance in my account.,I am unable to see the available balance in my account.,Request,Information,2026-04-10T00:20:23.531355
I am unable to view the FAQ section on the website.,I am unable to view the FAQ section on the website.,Request,Information,2026-04-10T00:20:23.534610
I am unable to receive a refund for my canceled subscription.,I am unable to receive a refund for my canceled subscription.,Information,Problem,2026-04-10T00:20:23.537830
I am having trouble with the keyboard shortcuts on the portal.,I am having trouble with the keyboard shortcuts on the portal.,Information,Problem,2026-04-10T00:20:23.540307
I am unable to redeem my loyalty points for discounts.,I am unable to redeem my loyalty points for discounts.,Information,Problem,2026-04-10T00:20:23.542876
I am having trouble with the filters on the search page.,I am having trouble with the filters on the search page.,Information,Problem,2026-04-10T00:20:23.546818
I am unable to receive an OTP for verifying my phone number.,I am unable to receive an OTP for verifying my phone number.,Request,Problem,2026-04-10T00:20:23.549384
I am having trouble with the dark mode setting on the website.,I am having trouble with the dark mode setting on the website.,Request,Problem,2026-04-10T00:20:23.551916
I am having trouble with the drag and drop feature on the portal.,I am having trouble with the drag and drop feature on the portal.,Information,Problem,2026-04-10T00:20:23.555170
I am unable to access the community forum on the website.,I am unable to access the community forum on the website.,Request,Problem,2026-04-10T00:20:23.557736
I am having trouble with the captcha on the registration page.,I am having trouble with the captcha on the registration page.,Information,Problem,2026-04-10T00:20:23.560371
I am unable to receive a verification code on my email.,I am unable to receive a verification code on my email.,Request,Problem,2026-04-10T00:20:23.563060
I am having trouble with the file compression feature on the portal.,I am having trouble with the file compression feature on the portal.,Information,Problem,2026-04-10T00:20:23.565637
I am unable to see the product specifications on the website.,I am unable to see the product specifications on the website.,Request,Information,2026-04-10T00:20:23.568196
I am unable to access the live demo on the website.,I am unable to access the live demo on the website.,Request,Problem,2026-04-10T00:20:23.571855
I am having trouble with the browser compatibility on the portal.,I am having trouble with the browser compatibility on the portal.,Information,Problem,2026-04-10T00:20:23.574558
I am having trouble with the scroll bar on the web portal.,I am having trouble with the scroll bar on the web portal.,Information,Problem,2026-04-10T00:20:23.579185
I am unable to receive a confirmation email for my registration.,I am unable to receive a confirmation email for my registration.,Request,Problem,2026-04-10T00:20:23.581760
I am unable to access the tutorial videos on the website.,I am unable to access the tutorial videos on the website.,Request,Problem,2026-04-10T00:20:23.585085
I am having trouble with the plugin integration on the portal.,I am having trouble with the plugin integration on the portal.,Information,Problem,2026-04-10T00:20:23.587698
I am unable to receive any emails from your company.,I am unable to receive any emails from your company.,Information,Problem,2026-04-10T00:20:23.590238
I am unable to see the reviews for the product on the website.,I am unable to see the reviews for the product on the website.,Request,Information,2026-04-10T00:20:23.593567
I am unable to receive a password reset link on my email.,I am unable to receive a password reset link on my email.,Request,Problem,2026-04-10T00:20:23.596984
I am having trouble with the character limit on the feedback form.,I am having trouble with the character limit on the feedback form.,Information,Problem,2026-04-10T00:20:23.599617
I am unable to access the blog section on the website.,I am unable to access the blog section on the website.,Request,Problem,2026-04-10T00:20:23.602237
The payment was deducted from my bank account but the transaction shows failed.,The payment was deducted from my bank account but the transaction shows failed.,Request,Problem,2026-04-10T00:25:32.610321
I found a bug in the latest update affecting report generation.,I found a bug in the latest update affecting report generation.,Information,Problem,2026-04-10T00:25:32.614187
I am having trouble accessing some features of the website.,I am having trouble accessing some features of the website.,Information,Problem,2026-04-10T00:25:32.617991
"My subscription was supposed to be canceled, but I was charged again.","My subscription was supposed to be canceled, but I was charged again.",Request,Problem,2026-04-10T00:25:32.622904
The website layout is distorted on my browser.,The website layout is distorted on my browser.,Request,Problem,2026-04-10T00:25:32.628003
I am having trouble setting up my account.,I am having trouble setting up my account.,Request,Problem,2026-04-10T00:25:32.631053
I am unable to download the software on my computer.,I am unable to download the software on my computer.,Information,Problem,2026-04-10T00:25:32.635859
I am unable to access the premium features despite having a subscription.,I am unable to access the premium features despite having a subscription.,Information,Problem,2026-04-10T00:25:32.639222
I am unable to complete the checkout process on the website.,I am unable to complete the checkout process on the website.,Request,Problem,2026-04-10T00:25:32.641828
I am unable to change my email address associated with the account.,I am unable to change my email address associated with the account.,Request,Problem,2026-04-10T00:25:32.648224
I am unable to connect my social media accounts to the portal.,I am unable to connect my social media accounts to the portal.,Information,Problem,2026-04-10T00:25:32.653213
I am having trouble understanding the billing statement for this month.,I am having trouble understanding the billing statement for this month.,Problem,Information,2026-04-10T00:25:32.655893
The website is not displaying any images or graphics for me.,The website is not displaying any images or graphics for me.,Request,Problem,2026-04-10T00:25:32.658514
I am unable to add items to my shopping cart.,I am unable to add items to my shopping cart.,Information,Problem,2026-04-10T00:25:32.661249
I am unable to verify my email address.,I am unable to verify my email address.,Request,Problem,2026-04-10T00:25:32.663951
I am unable to see my purchase history on the account page.,I am unable to see my purchase history on the account page.,Request,Problem,2026-04-10T00:25:32.666575
I am having trouble with the two-factor authentication process.,I am having trouble with the two-factor authentication process.,Information,Problem,2026-04-10T00:25:32.669200
The app is consuming too much battery on my phone.,The app is consuming too much battery on my phone.,Request,Problem,2026-04-10T00:25:32.671883
I am unable to contact customer support through the chat feature.,I am unable to contact customer support through the chat feature.,Information,Problem,2026-04-10T00:25:32.674565
I have a suggestion for improving the user interface of the mobile app.,I have a suggestion for improving the user interface of the mobile app.,Problem,Information,2026-04-10T00:25:32.677469
I am unable to find the search bar on the website.,I am unable to find the search bar on the website.,Request,Information,2026-04-10T00:25:32.680379
I am unable to apply a discount code during checkout.,I am unable to apply a discount code during checkout.,Information,Problem,2026-04-10T00:25:32.683082
The mobile app is not compatible with my device's operating system.,The mobile app is not compatible with my device's operating system.,Information,Problem,2026-04-10T00:25:32.685751
I am unable to print invoices from the portal.,I am unable to print invoices from the portal.,Information,Problem,2026-04-10T00:25:32.689622
I am unable to change the theme of the mobile app.,I am unable to change the theme of the mobile app.,Request,Problem,2026-04-10T00:25:32.694781
I am unable to access the help center on the website.,I am unable to access the help center on the website.,Request,Problem,2026-04-10T00:25:32.697612
I am unable to upgrade my subscription plan.,I am unable to upgrade my subscription plan.,Information,Request,2026-04-10T00:25:32.701738
I am having trouble with the auto-fill feature on the checkout page.,I am having trouble with the auto-fill feature on the checkout page.,Information,Problem,2026-04-10T00:25:32.705137
I am unable to view the terms and conditions on the website.,I am unable to view the terms and conditions on the website.,Request,Information,2026-04-10T00:25:32.709215
I am having trouble with the search results on the web portal.,I am having trouble with the search results on the web portal.,Information,Problem,2026-04-10T00:25:32.711891
I am unable to receive SMS alerts for account activity.,I am unable to receive SMS alerts for account activity.,Request,Problem,2026-04-10T00:25:32.714558
I am having trouble with the video player on the website.,I am having trouble with the video player on the website.,Request,Problem,2026-04-10T00:25:32.717245
I am unable to see the available balance in my account.,I am unable to see the available balance in my account.,Request,Information,2026-04-10T00:25:32.720733
I am unable to view the FAQ section on the website.,I am unable to view the FAQ section on the website.,Request,Information,2026-04-10T00:25:32.724461
I am unable to receive a refund for my canceled subscription.,I am unable to receive a refund for my canceled subscription.,Information,Problem,2026-04-10T00:25:32.728033
I am having trouble with the keyboard shortcuts on the portal.,I am having trouble with the keyboard shortcuts on the portal.,Information,Problem,2026-04-10T00:25:32.730795
I am unable to redeem my loyalty points for discounts.,I am unable to redeem my loyalty points for discounts.,Information,Problem,2026-04-10T00:25:32.733542
I am having trouble with the filters on the search page.,I am having trouble with the filters on the search page.,Information,Problem,2026-04-10T00:25:32.737611
I am unable to receive an OTP for verifying my phone number.,I am unable to receive an OTP for verifying my phone number.,Request,Problem,2026-04-10T00:25:32.740314
I am having trouble with the dark mode setting on the website.,I am having trouble with the dark mode setting on the website.,Request,Problem,2026-04-10T00:25:32.743092
I am having trouble with the drag and drop feature on the portal.,I am having trouble with the drag and drop feature on the portal.,Information,Problem,2026-04-10T00:25:32.746571
I am unable to access the community forum on the website.,I am unable to access the community forum on the website.,Request,Problem,2026-04-10T00:25:32.749575
I am having trouble with the captcha on the registration page.,I am having trouble with the captcha on the registration page.,Information,Problem,2026-04-10T00:25:32.752542
I am unable to receive a verification code on my email.,I am unable to receive a verification code on my email.,Request,Problem,2026-04-10T00:25:32.755678
I am having trouble with the file compression feature on the portal.,I am having trouble with the file compression feature on the portal.,Information,Problem,2026-04-10T00:25:32.758575
I am unable to see the product specifications on the website.,I am unable to see the product specifications on the website.,Request,Information,2026-04-10T00:25:32.761692
I am unable to access the live demo on the website.,I am unable to access the live demo on the website.,Request,Problem,2026-04-10T00:25:32.765600
I am having trouble with the browser compatibility on the portal.,I am having trouble with the browser compatibility on the portal.,Information,Problem,2026-04-10T00:25:32.768679
I am having trouble with the scroll bar on the web portal.,I am having trouble with the scroll bar on the web portal.,Information,Problem,2026-04-10T00:25:32.774199
I am unable to receive a confirmation email for my registration.,I am unable to receive a confirmation email for my registration.,Request,Problem,2026-04-10T00:25:32.777490
I am unable to access the tutorial videos on the website.,I am unable to access the tutorial videos on the website.,Request,Problem,2026-04-10T00:25:32.781188
I am having trouble with the plugin integration on the portal.,I am having trouble with the plugin integration on the portal.,Information,Problem,2026-04-10T00:25:32.783958
I am unable to receive any emails from your company.,I am unable to receive any emails from your company.,Information,Problem,2026-04-10T00:25:32.786678
I am unable to see the reviews for the product on the website.,I am unable to see the reviews for the product on the website.,Request,Information,2026-04-10T00:25:32.790102
I am unable to receive a password reset link on my email.,I am unable to receive a password reset link on my email.,Request,Problem,2026-04-10T00:25:32.793589
I am having trouble with the character limit on the feedback form.,I am having trouble with the character limit on the feedback form.,Information,Problem,2026-04-10T00:25:32.796386
I am unable to access the blog section on the website.,I am unable to access the blog section on the website.,Request,Problem,2026-04-10T00:25:32.799433
I am unable to see the terms of service on the mobile app.,I am unable to see the terms of service on the mobile app.,Problem,Information,2026-04-10T00:25:32.803841
I am having trouble with the font style on the web portal.,I am having trouble with the font style on the web portal.,Information,Problem,2026-04-10T00:25:32.806655
I am unable to receive a notification for a new message.,I am unable to receive a notification for a new message.,Information,Problem,2026-04-10T00:25:32.809430
I am having trouble with the page navigation on the website.,I am having trouble with the page navigation on the website.,Request,Problem,2026-04-10T00:25:32.812454
I am unable to receive a verification link on my phone.,I am unable to receive a verification link on my phone.,Request,Problem,2026-04-10T00:25:32.816697
I am having trouble with the account recovery process.,I am having trouble with the account recovery process.,Request,Problem,2026-04-10T00:25:32.819496
I am unable to see the estimated time of arrival for my delivery.,I am unable to see the estimated time of arrival for my delivery.,Problem,Information,2026-04-10T00:25:32.822525
I am unable to access the help documentation on the website.,I am unable to access the help documentation on the website.,Request,Problem,2026-04-10T00:25:32.826269
I am unable to receive any SMS notifications from your company.,I am unable to receive any SMS notifications from your company.,Information,Problem,2026-04-10T00:25:32.829770
I am having trouble with the UI design of the web portal.,I am having trouble with the UI design of the web portal.,Information,Problem,2026-04-10T00:25:32.832783
I am unable to see the product ratings on the website.,I am unable to see the product ratings on the website.,Request,Information,2026-04-10T00:25:32.835586
I am unable to receive a confirmation code for my purchase.,I am unable to receive a confirmation code for my purchase.,Information,Problem,2026-04-10T00:25:32.839049
I am having trouble with the feedback submission on the portal.,I am having trouble with the feedback submission on the portal.,Information,Problem,2026-04-10T00:25:32.841823
I am unable to access the user forum on the website.,I am unable to access the user forum on the website.,Request,Problem,2026-04-10T00:25:32.844673
I am having trouble with the sorting feature on the web portal.,I am having trouble with the sorting feature on the web portal.,Information,Problem,2026-04-10T00:25:32.848984
I am having trouble with the video quality on the website.,I am having trouble with the video quality on the website.,Request,Problem,2026-04-10T00:25:32.852850
I am unable to view the privacy policy on the website.,I am unable to view the privacy policy on the website.,Request,Information,2026-04-10T00:25:32.857801
I am unable to receive a response from customer support.,I am unable to receive a response from customer support.,Information,Problem,2026-04-10T00:25:32.861400
I am having trouble with the hotkeys on the portal.,I am having trouble with the hotkeys on the portal.,Information,Problem,2026-04-10T00:25:32.864197
I am unable to redeem a gift card for my purchase.,I am unable to redeem a gift card for my purchase.,Information,Problem,2026-04-10T00:25:32.867023
I am having trouble with the search filters on the web portal.,I am having trouble with the search filters on the web portal.,Information,Problem,2026-04-10T00:25:32.871316
I am unable to receive an email for account verification.,I am unable to receive an email for account verification.,Request,Problem,2026-04-10T00:25:32.874484
I am unable to access the knowledge base on the website.,I am unable to access the knowledge base on the website.,Request,Information,2026-04-10T00:25:32.879430
I am unable to receive a notification for a system update.,I am unable to receive a notification for a system update.,Request,Problem,2026-04-10T00:25:32.882984
I am having trouble with the file download feature on the portal.,I am having trouble with the file download feature on the portal.,Information,Problem,2026-04-10T00:25:32.885806
I am unable to see the product description on the website.,I am unable to see the product description on the website.,Request,Information,2026-04-10T00:25:32.888706
I am unable to access the live chat on the website.,I am unable to access the live chat on the website.,Request,Problem,2026-04-10T00:25:32.892497
I am having trouble with the cross-browser support on the portal.,I am having trouble with the cross-browser support on the portal.,Information,Problem,2026-04-10T00:25:32.895372
I am unable to receive any promotional offers via email.,I am unable to receive any promotional offers via email.,Request,Problem,2026-04-10T00:25:32.898345
