Original_Text,Cleaned_Text,Label
"Hi Support, I have been trying to update my payment method but it keeps failing. Until American body past police old probably.",I have been trying to update my payment method but it keeps failing.,Request
"Hi Support, The application crashes every time I open the settings tab. Team room character.",The application crashes every time I open the settings tab.,Problem
"Hi Support, We are receiving a 500 Internal Server Error on the API endpoint. Hundred down minute range.",We are receiving a 500 Internal Server Error on the API endpoint.,Problem
"Hi Support, The application crashes every time I open the settings tab. Serve read room husband bad huge nation.",The application crashes every time I open the settings tab.,Problem
"Hi Support, My subscription renewed automatically, but I wanted to cancel. Six around point dream manager season ok.","My subscription renewed automatically, but I wanted to cancel.",Request
"Hi Support, Do you offer a discount for non-profits? College sister simply them fine relate.",Do you offer a discount for non-profits?,Information
"Hi Support, Lock my account immediately, I see transactions I didn't make. Share son next way raise population.","Lock my account immediately, I see transactions I didn't make.",Problem
"Hi Support, Why is my bill higher than the agreed amount? Believe again anything argue million join.",Why is my bill higher than the agreed amount?,Information
"Hi Support, I requested a refund 5 days ago, where is it? See direction memory night.","I requested a refund 5 days ago, where is it?",Information
"Hi Support, I noticed a double charge on my statement for last month. Sound could case light imagine.",I noticed a double charge on my statement for last month.,Problem
"Hi Support, Can you send me the invoice for transaction #99283? Cold and song detail.",Can you send me the invoice for transaction #99283?,Request
"Hi Support, I cannot log into my account even after resetting the password. Next picture official billion tough.",I cannot log into my account even after resetting the password.,Request
"Hi Support, The application crashes every time I open the settings tab. Politics standard effect figure consumer.",The application crashes every time I open the settings tab.,Problem
"Hi Support, Where is your headquarters located? Mission sea art threat bit call lawyer.",Where is your headquarters located?,Information
"Hi Support, Why is my bill higher than the agreed amount? Provide issue everyone Democrat.",Why is my bill higher than the agreed amount?,Information
"Hi Support, I cannot log into my account even after resetting the password. Author city difference.",I cannot log into my account even after resetting the password.,Request
"Hi Support, How do I install the latest patch on Windows 11? Must significant air behavior everybody start.",How do I install the latest patch on Windows 11?,Information
"Hi Support, How do I install the latest patch on Windows 11? Stand rather under decade war line history.",How do I install the latest patch on Windows 11?,Information
"Hi Support, How do I install the latest patch on Windows 11? Father few goal else.",How do I install the latest patch on Windows 11?,Information
"Hi Support, Can you send me the invoice for transaction #99283? Impact million husband worker.",Can you send me the invoice for transaction #99283?,Request
"Hi Support, My subscription renewed automatically, but I wanted to cancel. Attorney data pattern room.","My subscription renewed automatically, but I wanted to cancel.",Request
"Hi Support, My profile picture is not updating. Dream end show teach shoulder.",My profile picture is not updating.,Problem
"Hi Support, Why is there a new device added to my trusted list? Late yes upon set half trip white.",Why is there a new device added to my trusted list?,Information
"Hi Support, How do I install the latest patch on Windows 11? Place of design.",How do I install the latest patch on Windows 11?,Information
"Hi Support, We are receiving a 500 Internal Server Error on the API endpoint. Response never bag back her house east.",We are receiving a 500 Internal Server Error on the API endpoint.,Problem
"Hi Support, Where is your headquarters located? State early task most fight others practice.",Where is your headquarters located?,Information
"Hi Support, My subscription renewed automatically, but I wanted to cancel. Often example fight street thank myself always.","My subscription renewed automatically, but I wanted to cancel.",Request
"Hi Support, What are your support operating hours? As college phone new right event.",What are your support operating hours?,Information
"Hi Support, Is there a roadmap for new features this year? Reality that board attorney paper identify possible Republican.",Is there a roadmap for new features this year?,Information
"Hi Support, Where is your headquarters located? Safe stop back plan.",Where is your headquarters located?,Information
"Hi Support, I cannot log into my account even after resetting the password. Different bed writer task live.",I cannot log into my account even after resetting the password.,Request
"Hi Support, My subscription renewed automatically, but I wanted to cancel. Provide available grow.","My subscription renewed automatically, but I wanted to cancel.",Request
"Hi Support, I noticed a double charge on my statement for last month. Without purpose send face reduce.",I noticed a double charge on my statement for last month.,Problem
"Hi Support, I requested a refund 5 days ago, where is it? Find seem mouth.","I requested a refund 5 days ago, where is it?",Information
"Hi Support, My data hasn't synced to the cloud for 24 hours. Be husband activity prevent share.",My data hasn't synced to the cloud for 24 hours.,Problem
"Hi Support, How do I install the latest patch on Windows 11? Address wrong turn word.",How do I install the latest patch on Windows 11?,Information
"Hi Support, My profile picture is not updating. Better condition live day.",My profile picture is not updating.,Problem
"Hi Support, I received a suspicious email claiming to be support. Represent body seven energy cultural tax pay.",I received a suspicious email claiming to be support.,Problem
"Hi Support, I would like to request a demo for my team. Year collection list indeed you recognize.",I would like to request a demo for my team.,Request
"Hi Support, How does the team pricing tier work? Page despite of story feeling look.",How does the team pricing tier work?,Information
"Hi Support, Do you offer a discount for non-profits? Improve ahead since crime most learn beautiful.",Do you offer a discount for non-profits?,Information
"Hi Support, My data hasn't synced to the cloud for 24 hours. Cover line majority improve.",My data hasn't synced to the cloud for 24 hours.,Problem
"Hi Support, The dashboard is not loading any data, just a spinning wheel. Ability say west since example.","The dashboard is not loading any data, just a spinning wheel.",Problem
"Hi Support, I have been trying to update my payment method but it keeps failing. Well federal third plan special.",I have been trying to update my payment method but it keeps failing.,Request
"Hi Support, I lost my phone and cannot pass the 2FA check. Team officer couple employee state finally wife.",I lost my phone and cannot pass the 2FA check.,Request
"Hi Support, My data hasn't synced to the cloud for 24 hours. Camera or it large return.",My data hasn't synced to the cloud for 24 hours.,Problem
"Hi Support, Can you send me the invoice for transaction #99283? Heavy wide charge another also husband after.",Can you send me the invoice for transaction #99283?,Request
"Hi Support, My profile picture is not updating. Focus run foreign play soon clear.",My profile picture is not updating.,Problem
"Hi Support, I cannot log into my account even after resetting the password. Expect student forward then degree everything.",I cannot log into my account even after resetting the password.,Request
"Hi Support, Do you offer a discount for non-profits? Land true reduce tell discussion rise situation.",Do you offer a discount for non-profits?,Information
"Hi Support, The application crashes every time I open the settings tab. Change culture night ten may.",The application crashes every time I open the settings tab.,Problem
"Hi Support, The application crashes every time I open the settings tab. Watch surface discover.",The application crashes every time I open the settings tab.,Problem
"Hi Support, My profile picture is not updating. Political truth pass true.",My profile picture is not updating.,Problem
"Hi Support, I want to permanently delete my account and data. Close ten high stock themselves society here.",I want to permanently delete my account and data.,Request
"Hi Support, How do I install the latest patch on Windows 11? Buy current own wish land man let its.",How do I install the latest patch on Windows 11?,Information
"Hi Support, I would like to request a demo for my team. East election follow including quality.",I would like to request a demo for my team.,Request
"Hi Support, I cannot log into my account even after resetting the password. Able house list whose a.",I cannot log into my account even after resetting the password.,Request
"Hi Support, I want to permanently delete my account and data. Hear my subject fund.",I want to permanently delete my account and data.,Request
"Hi Support, We are receiving a 500 Internal Server Error on the API endpoint. Baby court scientist buy.",We are receiving a 500 Internal Server Error on the API endpoint.,Problem
"Hi Support, How do I upgrade to the Enterprise plan? Budget card financial around time well degree operation.",How do I upgrade to the Enterprise plan?,Information
"Hi Support, My profile picture is not updating. Piece talk her believe.",My profile picture is not updating.,Problem
"Hi Support, How does the team pricing tier work? Technology same all exist write although.",How does the team pricing tier work?,Information
"Hi Support, My subscription renewed automatically, but I wanted to cancel. Environmental attack listen challenge center our various.","My subscription renewed automatically, but I wanted to cancel.",Request
"Hi Support, I have been trying to update my payment method but it keeps failing. Manage voice product hope together style across.",I have been trying to update my payment method but it keeps failing.,Request
"Hi Support, I cannot log into my account even after resetting the password. Human camera raise late painting require.",I cannot log into my account even after resetting the password.,Request
"Hi Support, Can you send me the invoice for transaction #99283? Evening model ever several.",Can you send me the invoice for transaction #99283?,Request
"Hi Support, Why is my bill higher than the agreed amount? May behind almost method that.",Why is my bill higher than the agreed amount?,Information
"Hi Support, My data hasn't synced to the cloud for 24 hours. Friend order reveal eat though coach.",My data hasn't synced to the cloud for 24 hours.,Problem
"Hi Support, I am not receiving the password reset email. Address measure say about last identify.",I am not receiving the password reset email.,Request
"Hi Support, The dashboard is not loading any data, just a spinning wheel. Old little law.","The dashboard is not loading any data, just a spinning wheel.",Problem
"Hi Support, I lost my phone and cannot pass the 2FA check. Local sell his visit air or indicate.",I lost my phone and cannot pass the 2FA check.,Request
"Hi Support, My profile picture is not updating. Direction never strategy receive artist run.",My profile picture is not updating.,Problem
"Hi Support, We are receiving a 500 Internal Server Error on the API endpoint. Operation remember foot drug.",We are receiving a 500 Internal Server Error on the API endpoint.,Problem
"Hi Support, The dashboard is not loading any data, just a spinning wheel. Read doctor address free by drop rock.","The dashboard is not loading any data, just a spinning wheel.",Problem
"Hi Support, I have been trying to update my payment method but it keeps failing. Central various least record position however.",I have been trying to update my payment method but it keeps failing.,Request
"Hi Support, Why is there a new device added to my trusted list? Own skill enjoy growth laugh.",Why is there a new device added to my trusted list?,Information
"Hi Support, Can you send me the invoice for transaction #99283? Over source production.",Can you send me the invoice for transaction #99283?,Request
"Hi Support, I would like to request a demo for my team. Player animal final.",I would like to request a demo for my team.,Request
"Hi Support, How do I upgrade to the Enterprise plan? Easy action bed learn concern.",How do I upgrade to the Enterprise plan?,Information
"Hi Support, Is there a roadmap for new features this year? Teach TV thus decide case.",Is there a roadmap for new features this year?,Information
"Hi Support, My data hasn't synced to the cloud for 24 hours. Week seem fact painting.",My data hasn't synced to the cloud for 24 hours.,Problem
"Hi Support, My profile picture is not updating. Five culture center scientist program explain.",My profile picture is not updating.,Problem
"Hi Support, How does the team pricing tier work? Score arm whatever message.",How does the team pricing tier work?,Information
"Hi Support, I requested a refund 5 days ago, where is it? After throughout else.","I requested a refund 5 days ago, where is it?",Information
"Hi Support, I would like to request a demo for my team. Run central card.",I would like to request a demo for my team.,Request
"Hi Support, I lost my phone and cannot pass the 2FA check. Between writer network author record lose Mr.",I lost my phone and cannot pass the 2FA check.,Request
"Hi Support, The application crashes every time I open the settings tab. Necessary material ahead debate many and drive.",The application crashes every time I open the settings tab.,Problem
"Hi Support, My data hasn't synced to the cloud for 24 hours. Yes stuff statement medical approach bar.",My data hasn't synced to the cloud for 24 hours.,Problem
"Hi Support, How does the team pricing tier work? He close according there cell.",How does the team pricing tier work?,Information
"Hi Support, What are your support operating hours? Arrive money impact around.",What are your support operating hours?,Information
"Hi Support, I received a login alert from a device in Russia, which wasn't me. Ever message three idea card check.","I received a login alert from a device in Russia, which wasn't me.",Problem
"Hi Support, The application crashes every time I open the settings tab. Country truth friend join ever statement spring.",The application crashes every time I open the settings tab.,Problem
"Hi Support, Why is my bill higher than the agreed amount? Next company indeed.",Why is my bill higher than the agreed amount?,Information
"Hi Support, My subscription renewed automatically, but I wanted to cancel. Weight interview sound next pass board set daughter.","My subscription renewed automatically, but I wanted to cancel.",Request
"Hi Support, Is there a roadmap for new features this year? Attack game on represent whatever effort.",Is there a roadmap for new features this year?,Information
"Hi Support, Can you send me the invoice for transaction #99283? Poor nature case door land.",Can you send me the invoice for transaction #99283?,Request
"Hi Support, Where is your headquarters located? Describe military condition.",Where is your headquarters located?,Information
"Hi Support, Why is my bill higher than the agreed amount? Sure so opportunity place start agree.",Why is my bill higher than the agreed amount?,Information
"Hi Support, I have been trying to update my payment method but it keeps failing. By cause near.",I have been trying to update my payment method but it keeps failing.,Request
"Hi Support, I am not receiving the password reset email. Half account game soon.",I am not receiving the password reset email.,Request
"Hi Support, I lost my phone and cannot pass the 2FA check. Heavy unit might positive individual despite.",I lost my phone and cannot pass the 2FA check.,Request
"Hi Support, I cannot log into my account even after resetting the password. Every against especially test.",I cannot log into my account even after resetting the password.,Request
"Hi Support, My data hasn't synced to the cloud for 24 hours. Serve society as lead whom answer.",My data hasn't synced to the cloud for 24 hours.,Problem
"Hi Support, Please help me change the email address associated with my account. Test address state report.",Please help me change the email address associated with my account.,Request
"Hi Support, My subscription renewed automatically, but I wanted to cancel. Success child major turn special back rather.","My subscription renewed automatically, but I wanted to cancel.",Request
"Hi Support, How do I install the latest patch on Windows 11? Add score history find pass.",How do I install the latest patch on Windows 11?,Information
"Hi Support, I requested a refund 5 days ago, where is it? Learn game join during executive sometimes big remember.","I requested a refund 5 days ago, where is it?",Information
"Hi Support, I requested a refund 5 days ago, where is it? Deal hear knowledge condition gas.","I requested a refund 5 days ago, where is it?",Information
"Hi Support, We are receiving a 500 Internal Server Error on the API endpoint. Film wear else sure education energy clear.",We are receiving a 500 Internal Server Error on the API endpoint.,Problem
"Hi Support, I have been trying to update my payment method but it keeps failing. Attention open at raise.",I have been trying to update my payment method but it keeps failing.,Request
"Hi Support, I have been trying to update my payment method but it keeps failing. Wind old charge blue ahead state.",I have been trying to update my payment method but it keeps failing.,Request
"Hi Support, My data hasn't synced to the cloud for 24 hours. Guy sport including very yet.",My data hasn't synced to the cloud for 24 hours.,Problem
"Hi Support, I requested a refund 5 days ago, where is it? Mrs huge ago assume.","I requested a refund 5 days ago, where is it?",Information
"Hi Support, I lost my phone and cannot pass the 2FA check. Similar nearly probably recently.",I lost my phone and cannot pass the 2FA check.,Request
"Hi Support, I cannot log into my account even after resetting the password. May year use.",I cannot log into my account even after resetting the password.,Request
"Hi Support, The dashboard is not loading any data, just a spinning wheel. School begin case agent.","The dashboard is not loading any data, just a spinning wheel.",Problem
"Hi Support, My data hasn't synced to the cloud for 24 hours. Light major deal chair.",My data hasn't synced to the cloud for 24 hours.,Problem
"Hi Support, I would like to request a demo for my team. Special debate picture myself political reach.",I would like to request a demo for my team.,Request
"Hi Support, How do I install the latest patch on Windows 11? Strategy bill clearly.",How do I install the latest patch on Windows 11?,Information
"Hi Support, How does the team pricing tier work? Six language thus join claim fly sell.",How does the team pricing tier work?,Information
"Hi Support, My data hasn't synced to the cloud for 24 hours. Why source somebody instead institution while.",My data hasn't synced to the cloud for 24 hours.,Problem
"Hi Support, I noticed a double charge on my statement for last month. Available garden its wonder.",I noticed a double charge on my statement for last month.,Problem
"Hi Support, My subscription renewed automatically, but I wanted to cancel. Research job rate trouble you assume film.","My subscription renewed automatically, but I wanted to cancel.",Request
"Hi Support, My data hasn't synced to the cloud for 24 hours. Campaign politics factor.",My data hasn't synced to the cloud for 24 hours.,Problem
"Hi Support, Do you offer a discount for non-profits? East significant concern.",Do you offer a discount for non-profits?,Information
"Hi Support, Where is your headquarters located? Success stop so.",Where is your headquarters located?,Information
"Hi Support, I cannot log into my account even after resetting the password. Require conference step tonight certainly statement.",I cannot log into my account even after resetting the password.,Request
"Hi Support, My data hasn't synced to the cloud for 24 hours. Work effect less wall road reveal girl.",My data hasn't synced to the cloud for 24 hours.,Problem
"Hi Support, My data hasn't synced to the cloud for 24 hours. Drop think last least it.",My data hasn't synced to the cloud for 24 hours.,Problem
"Hi Support, We are receiving a 500 Internal Server Error on the API endpoint. I tough policy game already player able.",We are receiving a 500 Internal Server Error on the API endpoint.,Problem
"Hi Support, How do I install the latest patch on Windows 11? Wide then bar factor.",How do I install the latest patch on Windows 11?,Information
"Hi Support, The application crashes every time I open the settings tab. Special morning southern foot source.",The application crashes every time I open the settings tab.,Problem
"Hi Support, The dashboard is not loading any data, just a spinning wheel. Fund new later worry husband.","The dashboard is not loading any data, just a spinning wheel.",Problem
"Hi Support, How do I install the latest patch on Windows 11? Apply continue article wear lawyer old almost.",How do I install the latest patch on Windows 11?,Information
"Hi Support, What are your support operating hours? Worker onto night card scientist loss east.",What are your support operating hours?,Information
"Hi Support, I noticed a double charge on my statement for last month. Then ago reach college power PM about after.",I noticed a double charge on my statement for last month.,Problem
"Hi Support, We are receiving a 500 Internal Server Error on the API endpoint. Finally bag serve call professional can movie.",We are receiving a 500 Internal Server Error on the API endpoint.,Problem
"Hi Support, Please help me change the email address associated with my account. Player rate everything game low ever.",Please help me change the email address associated with my account.,Request
"Hi Support, Can you send me the invoice for transaction #99283? Foreign cover imagine to science civil edge.",Can you send me the invoice for transaction #99283?,Request
"Hi Support, I have been trying to update my payment method but it keeps failing. Bad cultural site.",I have been trying to update my payment method but it keeps failing.,Request
"Hi Support, I lost my phone and cannot pass the 2FA check. Forget hope seek perform.",I lost my phone and cannot pass the 2FA check.,Request
"Hi Support, I cannot log into my account even after resetting the password. Eye military morning fast tough run simple.",I cannot log into my account even after resetting the password.,Request
"Hi Support, Do you offer a discount for non-profits? Near lay yet avoid consider early middle.",Do you offer a discount for non-profits?,Information
"Hi Support, The dashboard is not loading any data, just a spinning wheel. Else walk wear upon with.","The dashboard is not loading any data, just a spinning wheel.",Problem
"Hi Support, I cannot log into my account even after resetting the password. Boy ever TV door force.",I cannot log into my account even after resetting the password.,Request
"Hi Support, The dashboard is not loading any data, just a spinning wheel. Year without body.","The dashboard is not loading any data, just a spinning wheel.",Problem
"Hi Support, The application crashes every time I open the settings tab. True condition main huge.",The application crashes every time I open the settings tab.,Problem
"Hi Support, Do you offer a discount for non-profits? Base country bring stage.",Do you offer a discount for non-profits?,Information
"Hi Support, How does the team pricing tier work? Protect find phone.",How does the team pricing tier work?,Information
"Hi Support, The application crashes every time I open the settings tab. Brother exist agree.",The application crashes every time I open the settings tab.,Problem
"Hi Support, How do I install the latest patch on Windows 11? Should quite general mouth body already.",How do I install the latest patch on Windows 11?,Information
"Hi Support, Please help me change the email address associated with my account. Time today feeling whole rise minute.",Please help me change the email address associated with my account.,Request
"Hi Support, How does the team pricing tier work? Still able get create.",How does the team pricing tier work?,Information
"Hi Support, What are your support operating hours? Baby participant rock pick face individual own.",What are your support operating hours?,Information
"Hi Support, The dashboard is not loading any data, just a spinning wheel. Form word expert also occur goal.","The dashboard is not loading any data, just a spinning wheel.",Problem
"Hi Support, How do I install the latest patch on Windows 11? Hour small blue get.",How do I install the latest patch on Windows 11?,Information
"Hi Support, Where is your headquarters located? Figure she general.",Where is your headquarters located?,Information
"Hi Support, My profile picture is not updating. Paper thought book minute important customer person space.",My profile picture is not updating.,Problem
"Hi Support, I noticed a double charge on my statement for last month. Event fire federal seat.",I noticed a double charge on my statement for last month.,Problem
"Hi Support, We are receiving a 500 Internal Server Error on the API endpoint. International would any visit develop.",We are receiving a 500 Internal Server Error on the API endpoint.,Problem
"Hi Support, How do I install the latest patch on Windows 11? Business her thank support pass section.",How do I install the latest patch on Windows 11?,Information
"Hi Support, I cannot log into my account even after resetting the password. Movie lead forward.",I cannot log into my account even after resetting the password.,Request
"Hi Support, I requested a refund 5 days ago, where is it? Tough create war save.","I requested a refund 5 days ago, where is it?",Information
"Hi Support, The dashboard is not loading any data, just a spinning wheel. Only natural receive decade give.","The dashboard is not loading any data, just a spinning wheel.",Problem
"Hi Support, What are your support operating hours? Likely decision ok would kitchen together fast.",What are your support operating hours?,Information
"Hi Support, I noticed a double charge on my statement for last month. But a parent treat she ago community.",I noticed a double charge on my statement for last month.,Problem
"Hi Support, How do I install the latest patch on Windows 11? Care clear writer area air quite.",How do I install the latest patch on Windows 11?,Information
"Hi Support, What are your support operating hours? Age audience senior west.",What are your support operating hours?,Information
"Hi Support, What are your support operating hours? Song everyone front woman model relationship form half.",What are your support operating hours?,Information
"Hi Support, My data hasn't synced to the cloud for 24 hours. Weight a spend.",My data hasn't synced to the cloud for 24 hours.,Problem
"Hi Support, My subscription renewed automatically, but I wanted to cancel. Themselves according finish manage.","My subscription renewed automatically, but I wanted to cancel.",Request
"Hi Support, Can you send me the invoice for transaction #99283? Each over garden want prove chair.",Can you send me the invoice for transaction #99283?,Request
"Hi Support, I have been trying to update my payment method but it keeps failing. Ever edge concern happy.",I have been trying to update my payment method but it keeps failing.,Request
"Hi Support, How do I install the latest patch on Windows 11? None in line memory firm from you national.",How do I install the latest patch on Windows 11?,Information
"Hi Support, I noticed a double charge on my statement for last month. Road be lay everything.",I noticed a double charge on my statement for last month.,Problem
"Hi Support, Can you send me the invoice for transaction #99283? Food base too police system plant material.",Can you send me the invoice for transaction #99283?,Request
"Hi Support, Why is my bill higher than the agreed amount? Product challenge newspaper ago.",Why is my bill higher than the agreed amount?,Information
"Hi Support, I want to permanently delete my account and data. When blue if board miss enter.",I want to permanently delete my account and data.,Request
"Hi Support, The dashboard is not loading any data, just a spinning wheel. Toward plant write world.","The dashboard is not loading any data, just a spinning wheel.",Problem
"Hi Support, What are your support operating hours? Stage term lot song.",What are your support operating hours?,Information
"Hi Support, What are your support operating hours? Less rise activity not reason.",What are your support operating hours?,Information
"Hi Support, My data hasn't synced to the cloud for 24 hours. Heart upon page family.",My data hasn't synced to the cloud for 24 hours.,Problem
"Hi Support, We are receiving a 500 Internal Server Error on the API endpoint. Compare course always.",We are receiving a 500 Internal Server Error on the API endpoint.,Problem
"Hi Support, The dashboard is not loading any data, just a spinning wheel. Mean dog tend stuff.","The dashboard is not loading any data, just a spinning wheel.",Problem
"Hi Support, What are your support operating hours? Suddenly lay decision fund us detail large including.",What are your support operating hours?,Information
"Hi Support, I would like to request a demo for my team. Four often majority season scene.",I would like to request a demo for my team.,Request
"Hi Support, Can you send me the invoice for transaction #99283? Rock mission deep over worry me public difference.",Can you send me the invoice for transaction #99283?,Request
"Hi Support, My profile picture is not updating. Give yes reality board cold.",My profile picture is not updating.,Problem
"Hi Support, I lost my phone and cannot pass the 2FA check. Occur control hit assume.",I lost my phone and cannot pass the 2FA check.,Request
"Hi Support, We are receiving a 500 Internal Server Error on the API endpoint. Blue win thank major.",We are receiving a 500 Internal Server Error on the API endpoint.,Problem
"Hi Support, I am not receiving the password reset email. Activity enjoy season candidate.",I am not receiving the password reset email.,Request
"Hi Support, I want to permanently delete my account and data. Everything table what here possible court at too.",I want to permanently delete my account and data.,Request
"Hi Support, The dashboard is not loading any data, just a spinning wheel. Decide agreement blood full eat pattern.","The dashboard is not loading any data, just a spinning wheel.",Problem
"Hi Support, I requested a refund 5 days ago, where is it? Soldier push who small on.","I requested a refund 5 days ago, where is it?",Information
"Hi Support, Please help me change the email address associated with my account. Cultural ask parent financial plan address challenge.",Please help me change the email address associated with my account.,Request
"Hi Support, Is there a roadmap for new features this year? Community speech action center southern.",Is there a roadmap for new features this year?,Information
"Hi Support, We are receiving a 500 Internal Server Error on the API endpoint. Family right common argue.",We are receiving a 500 Internal Server Error on the API endpoint.,Problem
