Original_Text,Cleaned_Text,Label
Assign a different technician for my next visit as the previous one was unprofessional.,assign a different technician for my next visit as the previous one was unprofessional.,Request
Is it possible to move my router to the bedroom?,is it possible to move my router to the bedroom?,Information
Upgrade my current subscription to the Gamer’s Package starting next billing cycle.,upgrade my current subscription to the gamer s package starting next billing cycle.,Request
My Wi-Fi signal keeps disappearing whenever I move to the dining room.,my wi fi signal keeps disappearing whenever i move to the dining room.,Problem
What is my customer ID number for paying at a convenience store?,what is my customer id number for paying at a convenience store?,Information
Can a technician come over after 5 PM today?,can a technician come over after 5 pm today?,Request
Register an additional internet line for my home office using the same account n...,register an additional internet line for my home office using the same account n...,Request
I am unable to access the help documentation on the website.,i am unable to access the help documentation on the website.,Problem
I am unable to receive an email for account verification.,i am unable to receive an email for account verification.,Problem
Enable the guest network feature on my router with a dedicated speed limit.,enable the guest network feature on my router with a dedicated speed limit.,Request
I am having trouble with the chat history search feature.,i am having trouble with the chat history search feature.,Problem
I'd like to report a change of address for my service,i'd like to report a change of address for my service,Request
Enroll my line in the 'Night Owl' unlimited data promotion.,enroll my line in the 'night owl' unlimited data promotion.,Request
Is it true that I can get a refund for the outage?,is it true that i can get a refund for the outage?,Information
i need you to increase my data limit for this month,i need you to increase my data limit for this month,Request
I am unable to change my email address associated with the account.,i am unable to change my email address associated with the account.,Problem
Are the international roaming packages managed separately from the home fiber account?,are the international roaming packages managed separately from the home fiber account?,Information
I am having trouble with the keyboard shortcut configuration.,i am having trouble with the keyboard shortcut configuration.,Problem
How can I find out the results of the network survey for my new housing complex?,how can i find out the results of the network survey for my new housing complex?,Information
Provide a hard copy of the latest Terms and Conditions agreement.,provide a hard copy of the latest terms and conditions agreement.,Request
I am having trouble with the character limit on the support form.,i am having trouble with the character limit on the support form.,Problem
Can the admin password for the router be customized via the mobile application?,can the admin password for the router be customized via the mobile application?,Information
The Wi-Fi signal is unable to penetrate even a single wall in my house.,the wi fi signal is unable to penetrate even a single wall in my house.,Problem
Can I change my Wi-Fi password through the mobile app?,can i change my wi fi password through the mobile app?,Information
Provide a formal VAT receipt for my last three monthly payments.,provide a formal vat receipt for my last three monthly payments.,Request
Please send a receipt for my last payment via WhatsApp,please send a receipt for my last payment via whatsapp,Request
I want to register a new email address for billing notifications,i want to register a new email address for billing notifications,Request
How do I differentiate between a scheduled maintenance and a sudden fiber optic cable cut?,how do i differentiate between a scheduled maintenance and a sudden fiber optic cable cut?,Information
Move my technician appointment from Monday to Thursday afternoon.,move my technician appointment from monday to thursday afternoon.,Request
Mount the router on the wall to improve the overall signal range.,mount the router on the wall to improve the overall signal range.,Request
Can I see a detailed report of my daily data usage?,can i see a detailed report of my daily data usage?,Information
There is a physical break in the fiber cable caused by a fallen tree branch.,there is a physical break in the fiber cable caused by a fallen tree branch.,Problem
i want to cancel my subscription effective next month,i want to cancel my subscription effective next month,Request
I am unable to access the training videos on the website.,i am unable to access the training videos on the website.,Problem
I am curious if your service offers any built-in antivirus protection at the ISP level.,i am curious if your service offers any built in antivirus protection at the isp level.,Information
i'm still being billed after i already cancelled my subscription,i'm still being billed after i already cancelled my subscription,Problem
Activate the 5G boost for my home connection right now.,activate the 5g boost for my home connection right now.,Request
I am having trouble with the file compression feature on the portal.,i am having trouble with the file compression feature on the portal.,Problem
Add the static IP feature to my current plan and bill it to the same credit card.,add the static ip feature to my current plan and bill it to the same credit card.,Request
I need to move my installation to a different room,i need to move my installation to a different room,Request
Replace my broken TV remote and bill it to my account.,replace my broken tv remote and bill it to my account.,Request
Please waive the late payment fee due to the system error,please waive the late payment fee due to the system error,Request
I am unable to access the training materials on the website.,i am unable to access the training materials on the website.,Problem
What are the consequences if I lose the original remote control for the TV box?,what are the consequences if i lose the original remote control for the tv box?,Information
I want to add an extra set-top box for the bedroom TV,i want to add an extra set top box for the bedroom tv,Request
Please have a team fix the sagging fiber cables near my driveway entrance.,please have a team fix the sagging fiber cables near my driveway entrance.,Request
Does the network infrastructure utilize CGNAT or are individual public IPs assigned?,does the network infrastructure utilize cgnat or are individual public ips assigned?,Information
Can you install new connection?,can you install new connection?,Request
Reset my data usage counter as it was consumed by a system update.,reset my data usage counter as it was consumed by a system update.,Request
What is the process for terminating my subscription?,what is the process for terminating my subscription?,Information
Book an installation slot for my new house next Monday.,book an installation slot for my new house next monday.,Request
I would like to know which brands of routers are compatible with your fiber optic terminal.,i would like to know which brands of routers are compatible with your fiber optic terminal.,Information
Why is my Netflix buffering constantly even though I'm on a high-speed plan?,why is my netflix buffering constantly even though i'm on a high speed plan?,Problem
Kindly remove the cable TV add-on service from my current package,kindly remove the cable tv add on service from my current package,Request
Could you tell me the deadline for paying the monthly invoice before the service gets automatically restricted?,could you tell me the deadline for paying the monthly invoice before the service gets automatically restricted?,Information
What kind of encryption does your default Wi-Fi configuration use for home networks?,what kind of encryption does your default wi fi configuration use for home networks?,Information
Whitelist these specific MAC addresses for my new home security cameras.,whitelist these specific mac addresses for my new home security cameras.,Request
Can you explain the process of how I will be notified if my data usage reaches 90%?,can you explain the process of how i will be notified if my data usage reaches 90 ?,Information
Would it be possible to terminate my current subscription by the end of this mon...,would it be possible to terminate my current subscription by the end of this mon...,Request
I am having trouble setting up my account.,i am having trouble setting up my account.,Problem
the LOS indicator on my modem has been blinking red since this morning,the los indicator on my modem has been blinking red since this morning,Problem
Is the fiber optic cable used in this district fire-resistant or heat-protected?,is the fiber optic cable used in this district fire resistant or heat protected?,Information
I need to relocate the fiber wall socket in my living room,i need to relocate the fiber wall socket in my living room,Request
I am having trouble with the search filters on the web portal.,i am having trouble with the search filters on the web portal.,Problem
What is the policy regarding the return of equipment after the subscription ends?,what is the policy regarding the return of equipment after the subscription ends?,Information
Is the hardware provided by your service compatible with WPA3 security encryption?,is the hardware provided by your service compatible with wpa3 security encryption?,Information
What happens to my remaining data quota if I decide to upgrade my plan mid-month?,what happens to my remaining data quota if i decide to upgrade my plan mid month?,Information
Please dispatch a technician to check the faulty power adapter,please dispatch a technician to check the faulty power adapter,Request
I would like to switch my payment method to credit card,i would like to switch my payment method to credit card,Request
Are the set-top boxes compatible with third-party streaming apps like Netflix or Disney+?,are the set top boxes compatible with third party streaming apps like netflix or disney ?,Information
I am having trouble with the community forum on the website.,i am having trouble with the community forum on the website.,Problem
"I can't access any international websites, though local sites are working fine.","i can't access any international websites, though local sites are working fine.",Problem
what is the discount package this month?,what is the discount package this month?,Information
Elevate my support ticket to priority status for my business account.,elevate my support ticket to priority status for my business account.,Request
Please activate the international roaming feature for my mobile account.,please activate the international roaming feature for my mobile account.,Request
What are the specific requirements for upgrading to a business-grade connection?,what are the specific requirements for upgrading to a business grade connection?,Information
Are there any documented compatibility issues between your latest modem and older MacBook models?,are there any documented compatibility issues between your latest modem and older macbook models?,Information
My data quota didn't reset on the 1st of the month as it was supposed to.,my data quota didn't reset on the 1st of the month as it was supposed to.,Problem
the newly installed range extender cannot synchronize with the main router,the newly installed range extender cannot synchronize with the main router,Problem
I am having trouble with the UI design of the web portal.,i am having trouble with the ui design of the web portal.,Problem
How much is the installation fee for a new connection in a residential area?,how much is the installation fee for a new connection in a residential area?,Information
Is it possible to upgrade my plan just for one month for a specific event?,is it possible to upgrade my plan just for one month for a specific event?,Information
I am unable to access the webinar section on the website.,i am unable to access the webinar section on the website.,Problem
Switch my router to bridge mode remotely so I can use my own mesh system.,switch my router to bridge mode remotely so i can use my own mesh system.,Request
I am unable to connect my social media accounts to the portal.,i am unable to connect my social media accounts to the portal.,Problem
I need to change the ownership name of this account,i need to change the ownership name of this account,Request
I need to know the official bank account numbers for wire transfers.,i need to know the official bank account numbers for wire transfers.,Information
Please provide a certificate of subscription for office reimbursement,please provide a certificate of subscription for office reimbursement,Request
Are there any installation slots open for next Monday?,are there any installation slots open for next monday?,Information
Change my primary contact email address to my Gmail account instead.,change my primary contact email address to my gmail account instead.,Request
I am unable to read the privacy policy on the website.,i am unable to read the privacy policy on the website.,Information
Migrate my connection from the old copper line to the fiber optic network.,migrate my connection from the old copper line to the fiber optic network.,Request
I am unable to play the tutorial videos on the website.,i am unable to play the tutorial videos on the website.,Problem
Register my secondary phone number for the emergency SMS alert system.,register my secondary phone number for the emergency sms alert system.,Request
I am unable to see the available balance in my account.,i am unable to see the available balance in my account.,Information
Please enable the guest network on my router remotely,please enable the guest network on my router remotely,Request
Is there a limitation on how many times I can change my Wi-Fi password in a month?,is there a limitation on how many times i can change my wi fi password in a month?,Information
Swap my standard TV box for the newer 4K-enabled hardware.,swap my standard tv box for the newer 4k enabled hardware.,Request
What is the minimum guaranteed speed for the 100mbps package during peak hours?,what is the minimum guaranteed speed for the 100mbps package during peak hours?,Information
Please add the premium movie channel bundle to my account,please add the premium movie channel bundle to my account,Request
What happens to the existing equipment if a subscriber moves to an uncovered area?,what happens to the existing equipment if a subscriber moves to an uncovered area?,Information
I am having trouble with the video player on the website.,i am having trouble with the video player on the website.,Problem
The website is not displaying any images or graphics for me.,the website is not displaying any images or graphics for me.,Problem
I am unable to navigate between pages on the website.,i am unable to navigate between pages on the website.,Problem
What is the procedure to cancel subscription?,what is the procedure to cancel subscription?,Information
I would like to upgrade my Wi-Fi to the new Wi-Fi 6 standard equipment.,i would like to upgrade my wi fi to the new wi fi 6 standard equipment.,Request
Is there a monthly fee for the modem rental?,is there a monthly fee for the modem rental?,Information
I am unable to switch between tabs on the website.,i am unable to switch between tabs on the website.,Problem
how to check invoice?,how to check invoice?,Information
I am trying to find out if there are any ongoing promotions for existing customers who want to renew.,i am trying to find out if there are any ongoing promotions for existing customers who want to renew.,Information
Can you help me configure the parental control settings?,can you help me configure the parental control settings?,Request
Please deactivate the premium movie channel add-on from my account effective today.,please deactivate the premium movie channel add on from my account effective today.,Request
i can't access certain websites but others work fine,i can't access certain websites but others work fine,Problem
Ship three units of Wi-Fi mesh extenders to my home address as soon as possible.,ship three units of wi fi mesh extenders to my home address as soon as possible.,Request
What documents are needed to change the account owner?,what documents are needed to change the account owner?,Information
I am unable to view the terms and conditions on the website.,i am unable to view the terms and conditions on the website.,Information
Are the signal boosters provided in the premium package rented or owned by the customer?,are the signal boosters provided in the premium package rented or owned by the customer?,Information
I am unable to change the theme of the mobile app.,i am unable to change the theme of the mobile app.,Problem
Please enable adult content filtering on my network,please enable adult content filtering on my network,Request
Correct my personal records to reflect the new identity card information.,correct my personal records to reflect the new identity card information.,Request
Modify my Wi-Fi name and password to the details I’ve attached in this message.,modify my wi fi name and password to the details i ve attached in this message.,Request
Is there a fee for relocating the fiber optic cable?,is there a fee for relocating the fiber optic cable?,Information
Can you send the monthly invoice to my alternative email?,can you send the monthly invoice to my alternative email?,Request
I am unable to access the news archive on the website.,i am unable to access the news archive on the website.,Problem
I am unable to see my purchase history on the account page.,i am unable to see my purchase history on the account page.,Problem
Send a Wi-Fi expert to optimize the signal coverage in my home.,send a wi fi expert to optimize the signal coverage in my home.,Request
Does the fiber optic technology used in this area support symmetrical speeds?,does the fiber optic technology used in this area support symmetrical speeds?,Information
"Every time it rains, my connection drops and I have to restart the ONT.","every time it rains, my connection drops and i have to restart the ont.",Problem
The activation of my new line has been pending for over a week now.,the activation of my new line has been pending for over a week now.,Problem
"Please enable the ""Guest Network"" feature on my gateway remotely.",please enable the guest network feature on my gateway remotely.,Request
Please reactivate my isolated service.,please reactivate my isolated service.,Request
I am having trouble with the auto-fill feature on the checkout page.,i am having trouble with the auto fill feature on the checkout page.,Problem
Change the Wi-Fi frequency broadcast from 2.4GHz to 5GHz.,change the wi fi frequency broadcast from 2.4ghz to 5ghz.,Request
Is it possible to bridge my modem for a mesh system?,is it possible to bridge my modem for a mesh system?,Information
Please enroll my account in the monthly paperless billing program.,please enroll my account in the monthly paperless billing program.,Request
The download speed does not match the package I bought.,the download speed does not match the package i bought.,Problem
I am unable to upgrade my subscription plan.,i am unable to upgrade my subscription plan.,Request
Is it possible to hide my SSID so neighbors cannot see my Wi-Fi name?,is it possible to hide my ssid so neighbors cannot see my wi fi name?,Information
I need to know if your technicians are required to show a digital ID before entering a residence.,i need to know if your technicians are required to show a digital id before entering a residence.,Information
Please process a temporary suspension of service as I am going out of town.,please process a temporary suspension of service as i am going out of town.,Request
I am unable to access the knowledge base on the website.,i am unable to access the knowledge base on the website.,Information
Info regarding the FUP limit for the package I am using.,info regarding the fup limit for the package i am using.,Information
I am unable to receive SMS alerts for account activity.,i am unable to receive sms alerts for account activity.,Problem
Redeem my loyalty points for a temporary one-month speed boost.,redeem my loyalty points for a temporary one month speed boost.,Request
Assign a technician to help with the STB installation in my guest bedroom.,assign a technician to help with the stb installation in my guest bedroom.,Request
What are the tax implications if I switch from a personal to a professional business account?,what are the tax implications if i switch from a personal to a professional business account?,Information
Can I still use the landline phone if the electricity in my house goes out?,can i still use the landline phone if the electricity in my house goes out?,Information
I am unable to access the live chat representative.,i am unable to access the live chat representative.,Problem
Provide a backup modem unit for my work-from-home setup.,provide a backup modem unit for my work from home setup.,Request
the parental control feature on the website is not working to block specific sites,the parental control feature on the website is not working to block specific sites,Problem
the USB port on the modem cannot read my external hard drive,the usb port on the modem cannot read my external hard drive,Problem
I am having trouble with the user forum on the website.,i am having trouble with the user forum on the website.,Problem
I am having trouble with the SMS verification code.,i am having trouble with the sms verification code.,Problem
How is the prorated billing calculated for users who sign up in the final week of the month?,how is the prorated billing calculated for users who sign up in the final week of the month?,Information
I am unable to receive a confirmation email for my registration.,i am unable to receive a confirmation email for my registration.,Problem
I am unable to get a response from your support team.,i am unable to get a response from your support team.,Problem
Do you provide Wi-Fi extenders for large houses?,do you provide wi fi extenders for large houses?,Information
I keep getting 'IP Address Conflict' errors on all my connected devices.,i keep getting 'ip address conflict' errors on all my connected devices.,Problem
The TV box shows a 'No Signal' error on every channel I try to watch.,the tv box shows a 'no signal' error on every channel i try to watch.,Problem
Process a refund for the seven days when the service was completely offline.,process a refund for the seven days when the service was completely offline.,Request
I am unable to verify my email address.,i am unable to verify my email address.,Problem
my bill this month spiked because of add-on charges i never purchased,my bill this month spiked because of add on charges i never purchased,Problem
Can I request a speed test from the central server to verify my line's physical health?,can i request a speed test from the central server to verify my line's physical health?,Information
Please help integrate my router with my smart home devices,please help integrate my router with my smart home devices,Request
Kindly re-verify my emergency contact number in your system,kindly re verify my emergency contact number in your system,Request
I am unable to receive a notification for a new message.,i am unable to receive a notification for a new message.,Problem
Can I check the signal strength of my ONT remotely through the provider's dashboard?,can i check the signal strength of my ont remotely through the provider's dashboard?,Information
I am having trouble accessing some features of the website.,i am having trouble accessing some features of the website.,Problem
Is it possible to change the billing date from the 1st to the 15th of each month?,is it possible to change the billing date from the 1st to the 15th of each month?,Information
Is it possible to get a physical receipt for payments made through the Shopee application?,is it possible to get a physical receipt for payments made through the shopee application?,Information
I am unable to navigate the web portal effectively.,i am unable to navigate the web portal effectively.,Problem
Please send the tax invoice for my internet subscription,please send the tax invoice for my internet subscription,Request
I'd like to sign up for the static IP service for my home server setup.,i'd like to sign up for the static ip service for my home server setup.,Request
"The DNS server is not responding, preventing me from browsing any sites.","the dns server is not responding, preventing me from browsing any sites.",Problem
What is the average response time for a priority support ticket for business-grade accounts?,what is the average response time for a priority support ticket for business grade accounts?,Information
Whitelist this MAC address: AA:BB:CC:11:22:33 for my PC.,whitelist this mac address aa bb cc 11 22 33 for my pc.,Request
What documents are required for a package migration?,what documents are required for a package migration?,Information
i cannot change my SSID name and it always shows a Request Timeout error,i cannot change my ssid name and it always shows a request timeout error,Problem
Email me a detailed report of my data usage for last month.,email me a detailed report of my data usage for last month.,Request
the browser shows DNS Probe Finished No Internet on all my devices,the browser shows dns probe finished no internet on all my devices,Problem
I’ve noticed a physical crack on the fiber optic cable near my front door.,i ve noticed a physical crack on the fiber optic cable near my front door.,Problem
Could you help me set up a VLAN on the provided router for my office work?,could you help me set up a vlan on the provided router for my office work?,Request
I was charged for a premium channel that I never requested or activated.,i was charged for a premium channel that i never requested or activated.,Problem
I want to change my billing cycle from monthly to annually,i want to change my billing cycle from monthly to annually,Request
How do I check my data usage?,how do i check my data usage?,Information
Is there a dedicated portal for tracking the status of an ongoing technical ticket?,is there a dedicated portal for tracking the status of an ongoing technical ticket?,Information
Configure the DMZ settings on my gateway so I can host a gaming server.,configure the dmz settings on my gateway so i can host a gaming server.,Request
is there an option to pause my subscription temporarily,is there an option to pause my subscription temporarily,Information
Is there an additional fee if I want to add another TV decoder?,is there an additional fee if i want to add another tv decoder?,Information
Are the terms of service available in multiple languages for international residents?,are the terms of service available in multiple languages for international residents?,Information
I am unable to see the current balance in my wallet.,i am unable to see the current balance in my wallet.,Information
There is a strange buzzing sound coming from the power adapter whenever it's plugged in.,there is a strange buzzing sound coming from the power adapter whenever it's plugged in.,Problem
I am unable to access the user forum on the website.,i am unable to access the user forum on the website.,Problem
How can I find out if my current router hardware is already outdated for the new 300mbps speed?,how can i find out if my current router hardware is already outdated for the new 300mbps speed?,Information
My router settings keep reverting to factory defaults after every power cut.,my router settings keep reverting to factory defaults after every power cut.,Problem
"my upload speed is terrible, videos won't upload at all","my upload speed is terrible, videos won't upload at all",Problem
can you remove the extra charges on my latest invoice,can you remove the extra charges on my latest invoice,Request
I would like to claim compensation for yesterday's service outage,i would like to claim compensation for yesterday's service outage,Request
Please schedule a site survey for a new installation.,please schedule a site survey for a new installation.,Request
I am having trouble with the file download feature on the portal.,i am having trouble with the file download feature on the portal.,Problem
Modem keeps disconnecting,modem keeps disconnecting,Problem
Add a 50GB data pack to my line for today's high-usage needs.,add a 50gb data pack to my line for today's high usage needs.,Request
Is the installation fee waived if I choose to pay for the first six months upfront?,is the installation fee waived if i choose to pay for the first six months upfront?,Information
I am having trouble with the terms and conditions page on the mobile app.,i am having trouble with the terms and conditions page on the mobile app.,Information
What are the steps to set up a bridge mode on the provided router?,what are the steps to set up a bridge mode on the provided router?,Information
"My device shows ""Connected, No Internet"" despite multiple restarts today.","my device shows connected, no internet despite multiple restarts today.",Problem
My bill this month is double the usual amount without any explanation.,my bill this month is double the usual amount without any explanation.,Problem
Is it possible to change the primary billing email without having the old email access?,is it possible to change the primary billing email without having the old email access?,Information
Are the Wi-Fi extenders rented or are they a one-time purchase?,are the wi fi extenders rented or are they a one time purchase?,Information
I am unable to navigate between different pages on the website.,i am unable to navigate between different pages on the website.,Problem
How often are the public Wi-Fi hotspots updated for users with the mobile add-on?,how often are the public wi fi hotspots updated for users with the mobile add on?,Information
I am unable to see the user reviews for the product on the website.,i am unable to see the user reviews for the product on the website.,Information
Please pause my subscription for two weeks while I'm away,please pause my subscription for two weeks while i'm away,Request
I need assistance configuring port forwarding on my router,i need assistance configuring port forwarding on my router,Request
Please pause my subscription for 60 days while I am working overseas.,please pause my subscription for 60 days while i am working overseas.,Request
Pause my subscription for 30 days while I am on vacation.,pause my subscription for 30 days while i am on vacation.,Request
I am looking for information on how to read the LED indicator patterns on the front of my modem.,i am looking for information on how to read the led indicator patterns on the front of my modem.,Information
Please verify if my payment has been received and update my status.,please verify if my payment has been received and update my status.,Request
How can I update my primary contact phone number in your database?,how can i update my primary contact phone number in your database?,Information
Activate the 'Static IP' add-on for my remote work VPN requirements.,activate the 'static ip' add on for my remote work vpn requirements.,Request
I have a suggestion for improving the user interface of the mobile app.,i have a suggestion for improving the user interface of the mobile app.,Information
Please whitelist my new gaming console's MAC address on your network.,please whitelist my new gaming console's mac address on your network.,Request
what happens if i exceed my monthly data limit,what happens if i exceed my monthly data limit,Information
the mobile app shows my status as active but i cannot connect at all,the mobile app shows my status as active but i cannot connect at all,Problem
I am unable to access the help center on the website.,i am unable to access the help center on the website.,Problem
I am unable to recover my account after several attempts.,i am unable to recover my account after several attempts.,Problem
Bridge my ISP modem so I can use my own custom ASUS router.,bridge my isp modem so i can use my own custom asus router.,Request
Does the current weather condition usually affect the stability of the fiber connection in this region?,does the current weather condition usually affect the stability of the fiber connection in this region?,Information
I am unable to access the blog section on the website.,i am unable to access the blog section on the website.,Problem
My bill is higher than expected,my bill is higher than expected,Problem
i can't connect to wifi even though the password is correct,i can't connect to wifi even though the password is correct,Problem
Activate the 'Catch-Up' feature for my current Set-Top Box immediately.,activate the 'catch up' feature for my current set top box immediately.,Request
I am having trouble with the extension integration on the portal.,i am having trouble with the extension integration on the portal.,Problem
I want to register a second line for my home office,i want to register a second line for my home office,Request
Is there a way to block certain MAC addresses from the router without changing the password?,is there a way to block certain mac addresses from the router without changing the password?,Information
Please send me the brochure for the internet and cable TV packages.,please send me the brochure for the internet and cable tv packages.,Information
i am being accused of violating the FUP even though my usage this month is very low,i am being accused of violating the fup even though my usage this month is very low,Problem
I am unable to receive a verification link on my phone.,i am unable to receive a verification link on my phone.,Problem
Issue an official letter for a drilling permit at my apartment building.,issue an official letter for a drilling permit at my apartment building.,Request
Activate the 'Gamer Pro' add-on for my account immediately.,activate the 'gamer pro' add on for my account immediately.,Request
Could you provide the details of the nearest authorized payment point in my neighborhood?,could you provide the details of the nearest authorized payment point in my neighborhood?,Information
I am having trouble with the feedback submission on the portal.,i am having trouble with the feedback submission on the portal.,Problem
Upgrade my speed to the 100mbps plan starting today.,upgrade my speed to the 100mbps plan starting today.,Request
Provide a longer fiber drop cable for my customized indoor setup.,provide a longer fiber drop cable for my customized indoor setup.,Request
Can you check if my area is eligible for the 1Gbps speed boost?,can you check if my area is eligible for the 1gbps speed boost?,Request
the LAN cable connection is intermittent even though i replaced the cable,the lan cable connection is intermittent even though i replaced the cable,Problem
Activate the 'Ultra HD' streaming add-on for my account.,activate the 'ultra hd' streaming add on for my account.,Request
What is the exact procedure for transferring account ownership to a family member?,what is the exact procedure for transferring account ownership to a family member?,Information
Please help synchronize my range extender for a stable signal,please help synchronize my range extender for a stable signal,Request
can you schedule a cable burial for the wire outside my house,can you schedule a cable burial for the wire outside my house,Request
Swap my current ONT for one that has more than two LAN ports.,swap my current ont for one that has more than two lan ports.,Request
Enable 'Safe Browsing' for every device connected to my Wi-Fi.,enable 'safe browsing' for every device connected to my wi fi.,Request
Please reactivate my account after payment,please reactivate my account after payment,Request
Can I get the same technician who handled my previous visit?,can i get the same technician who handled my previous visit?,Request
What documentation is needed for a change of account ownership?,what documentation is needed for a change of account ownership?,Information
an IP Configuration Failure message appears every time i try to connect my phone,an ip configuration failure message appears every time i try to connect my phone,Problem
Can you help me set up a mesh Wi-Fi system?,can you help me set up a mesh wi fi system?,Request
What is the procedure to change my payment method to a credit card?,what is the procedure to change my payment method to a credit card?,Information
Bind my laptop's MAC address for enhanced network-level security.,bind my laptop's mac address for enhanced network level security.,Request
can you reset my modem remotely?,can you reset my modem remotely?,Request
Please create separate user profiles for the parental control feature,please create separate user profiles for the parental control feature,Request
I am unable to receive a confirmation message for my account registration.,i am unable to receive a confirmation message for my account registration.,Problem
The mobile app is not compatible with my device's operating system.,the mobile app is not compatible with my device's operating system.,Problem
The technician who came today left without actually fixing the issue.,the technician who came today left without actually fixing the issue.,Problem
I am unable to see the estimated time of arrival for my delivery.,i am unable to see the estimated time of arrival for my delivery.,Information
The QR code for payment on the invoice is invalid and cannot be scanned.,the qr code for payment on the invoice is invalid and cannot be scanned.,Problem
I want to cancel my plan right now.,i want to cancel my plan right now.,Request
Can I request a static public IP address for office use?,can i request a static public ip address for office use?,Request
