messages,label
I am unable to customize my profile details on the portal.,Request
I am having trouble with the help and support section on the website.,Problem
I am having trouble with the SMS notification system.,Problem
I am unable to navigate the web portal effectively.,Problem
I am having trouble with the product rating feature.,Problem
I am having trouble with the purchase confirmation email.,Problem
I am unable to submit my feedback through the portal.,Problem
I am having trouble with the community forum on the website.,Problem
I am unable to play the tutorial videos on the website.,Problem
I am having trouble with the notification preferences for my account.,Problem
I am unable to see the current balance in my wallet.,Information
I am unable to read the privacy policy document on the website.,Information
I am unable to get a timely response from your support team.,Problem
I am having trouble with the keyboard shortcut configuration.,Problem
I am unable to use my gift card for this transaction.,Problem
I am having trouble with the filtering criteria on the web portal.,Problem
I am unable to receive the verification email for my new account.,Problem
I am having trouble with the dark mode toggle on the website.,Problem
I am having trouble with the file attachment feature on the portal.,Problem
I am having trouble with the captcha on the sign-up page.,Problem
I am having trouble with the file export feature on the portal.,Problem
I am unable to access the live chat representative.,Problem
I am having trouble with the browser support for the portal.,Problem
I am unable to receive any special offers via email.,Problem
I am unable to find the email address for support.,Information
I am having trouble with the navigation bar on the web portal.,Problem
I am unable to receive a confirmation for my subscription.,Problem
I am unable to access the webinar section on the website.,Problem
I am unable to receive any marketing emails.,Problem
I am having trouble with the character limit on the support form.,Problem
I am unable to access the press release section on the website.,Problem
I am having trouble with the notification system for new alerts.,Problem
I am unable to switch between tabs on the website.,Problem
I am having trouble with the message history feature.,Problem
I am unable to download my profile information.,Request
I am having trouble with the SMS verification code.,Problem
"Please change my Wi-Fi password to ""Jakarta2024""",Request
I need to move my installation to a different room,Request
Can you send the monthly invoice to my alternative email?,Request
Please reactivate my account after payment,Request
I want to change my billing cycle from monthly to annually,Request
Send a technician to relocate the fiber optic cable,Request
Please downgrade my current plan to the basic package,Request
Can you provide a static IP for my connection?,Request
I need a physical copy of my contract sent to my address,Request
Please pause my subscription for two weeks while I'm away,Request
Can you help me set up a mesh Wi-Fi system?,Request
Please add the premium movie channel bundle to my account,Request
I'd like to request a new router model to replace the old one,Request
Can you schedule a technician visit for Saturday morning?,Request
Please update my registered phone number in your system,Request
I want to buy an additional Wi-Fi extender from your service,Request
Please provide a formal letter of clearance for my subscription,Request
Can you bridge my modem to my personal router?,Request
I need to change the ownership name of this account,Request
Please send me the latest promotional offers for loyal customers,Request
Can you check if my area is eligible for the 1Gbps speed boost?,Request
Please waive the late payment fee due to the system error,Request
I want to register a second line for my home office,Request
Please send a technician to replace the damaged LAN port,Request
Can you help me configure the parental control settings?,Request
Please enable the guest network on my router remotely,Request
I'd like to report a change of address for my service,Request
Please send a receipt for my last payment via WhatsApp,Request
Can you provide the PPPoE credentials for my third-party router?,Request
Please confirm the cancellation of my add-on services,Request
Please schedule a technician visit to inspect the outdoor fiber cable,Request
I need the itemized billing statement for last month resent to my email,Request
Could you upgrade my internet speed to the highest available plan?,Request
Kindly reactivate my service that was recently suspended,Request
I would like to switch my payment method to credit card,Request
Please assist with installing an additional router on the second floor,Request
Can my modem be swapped for the latest dual-band model?,Request
"Please change my Wi-Fi SSID name to ""Home_Office_5G""",Request
I need to relocate the fiber wall socket in my living room,Request
Please send me the subscription cancellation form for next month,Request
Could my billing address be updated to the new location?,Request
Please dispatch a technician to check the faulty power adapter,Request
I need assistance configuring port forwarding on my router,Request
Kindly remove the cable TV add-on service from my current package,Request
I want to upgrade my router to a device that supports Wi-Fi 6,Request
Please send the tax invoice for my internet subscription,Request
Can I request a static public IP address for office use?,Request
Please perform a remote factory reset on my router,Request
Kindly re-verify my emergency contact number in your system,Request
I’d like to request a loyalty discount for my contract renewal,Request
Please provide a certificate of subscription for office reimbursement,Request
Can a technician come over after 5 PM today?,Request
Please create separate user profiles for the parental control feature,Request
I want to purchase a data booster pack for the remainder of the week,Request
Please help integrate my router with my smart home devices,Request
Kindly send a digital copy of my original contract to my account,Request
Can I request a replacement for a LAN cable damaged by pets?,Request
Please disable the USB port access on my modem remotely,Request
I want to register a new email address for billing notifications,Request
Please enable adult content filtering on my network,Request
Kindly send the router setup instructions via WhatsApp,Request
I would like to claim compensation for yesterday's service outage,Request
Please schedule a migration from copper to fiber optic service,Request
Can I get the same technician who handled my previous visit?,Request
Please confirm if my service termination request has been processed,Request
Change the admin password for my modem's gateway access,Request
I want to add an extra set-top box for the bedroom TV,Request
Please check if my area is eligible for the 5G network coverage,Request
Kindly deliver the physical payment receipt for this month to my home,Request
Please help synchronize my range extender for a stable signal,Request
What are the specific terms and conditions regarding the early termination fee for a two-year contract?,Information
I was wondering if your current infrastructure in South Jakarta supports symmetrical upload and download speeds.,Information
Could you clarify the difference between the basic starter pack and the professional home office bundle?,Information
I am curious about the data capping policy once I exceed the fair usage limit for this month.,Information
Is there any scheduled maintenance or network optimization happening in the Tangerang area tonight?,Information
I would like to know which brands of routers are compatible with your fiber optic terminal.,Information
What is the exact procedure for transferring account ownership to a family member?,Information
Does my current subscription already include a complimentary subscription to any streaming platforms?,Information
I'm looking for details on how the billing cycle is calculated if I join in the middle of the month.,Information
Is the public IP provided by your service dynamic or does it stay the same after a reboot?,Information
Can you explain the technical requirements for setting up a bridge mode on the provided ONT?,Information
I am trying to find out if there are any ongoing promotions for existing customers who want to renew.,Information
What are the operating hours for your walk-in customer service centers during the weekend?,Information
I need to understand how much additional latency I should expect when using a VPN on your network.,Information
Does the current weather condition usually affect the stability of the fiber connection in this region?,Information
I am interested in knowing the maximum number of devices that can concurrently connect to the standard gateway.,Information
Could you tell me the deadline for paying the monthly invoice before the service gets automatically restricted?,Information
What security protocols are being used to protect the user data on your central servers?,Information
Is there a specific list of supported areas for your new ultra-high-speed 1Gbps plan?,Information
I am looking for information on how to read the LED indicator patterns on the front of my modem.,Information
What is the minimum guaranteed speed for the 100mbps package during peak hours?,Information
Are there any student discounts or corporate partner programs available for new sign-ups?,Information
I want to know the physical address of your main office for document submission purposes.,Information
Can you explain the process of how I will be notified if my data usage reaches 90%?,Information
Is the installation fee waived if I choose to pay for the first six months upfront?,Information
What kind of encryption does your default Wi-Fi configuration use for home networks?,Information
I am curious if your service offers any built-in antivirus protection at the ISP level.,Information
Does the set-top box provided with the TV package support 4K resolution streaming?,Information
How many days does it usually take to process a relocation request from one city to another?,Information
What is the policy regarding the return of equipment after the subscription ends?,Information
I need to know if your technicians are required to show a digital ID before entering a residence.,Information
Are there any parental control features integrated directly into the web dashboard?,Information
I am wondering if the fiber optic cable used in my building is aerial or underground.,Information
What is the average response time for a priority support ticket for business-grade accounts?,Information
Could you provide the details of the nearest authorized payment point in my neighborhood?,Information
I want to know if there are any limitations on using third-party DNS servers like Google or Cloudflare.,Information
Is there a mobile application available to monitor my real-time bandwidth consumption?,Information
What happens to my remaining data quota if I decide to upgrade my plan mid-month?,Information
Are the international roaming packages managed separately from the home fiber account?,Information
I need clarification on whether the advertised price includes the 11% Value Added Tax.,Information
What specific documentation is required to qualify for the corporate employee discount program?,Information
Does the monthly subscription fee listed on the website already include the government service tax?,Information
Are there any documented compatibility issues between your latest modem and older MacBook models?,Information
How exactly does the fair usage policy (FUP) impact streaming quality once the limit is reached?,Information
Which peripheral brands are recommended for expanding Wi-Fi coverage in a multi-story house?,Information
Is the technical support team available via live chat 24/7 or only during business hours?,Information
What are the primary differences in latency between the gaming-optimized plan and the standard one?,Information
Can a detailed map of the current fiber coverage in East Jakarta be found on your portal?,Information
Are the installation technicians authorized to handle internal wall drilling for cable management?,Information
Does the provided router support simultaneous dual-band connections for 2.4GHz and 5GHz?,Information
What is the standard procedure for a customer who needs to temporarily suspend service during a move?,Information
Are there any upcoming firmware updates scheduled to improve the security of the current gateway?,Information
How is the prorated billing calculated for users who sign up in the final week of the month?,Information
Is there a limit to how many separate email addresses can be linked to a single billing account?,Information
What security measures are in place to prevent DNS hijacking on your network?,Information
Can the monthly data usage report be exported into a CSV format from the dashboard?,Information
Are the set-top boxes compatible with third-party streaming apps like Netflix or Disney+?,Information
What is the average duration for resolving a reported network outage in residential areas?,Information
Does your company offer a trial period for new subscribers before the long-term contract starts?,Information
Which payment gateways are currently supported for automatic recurring monthly deductions?,Information
Is there a loyalty program that rewards long-term customers with hardware upgrades?,Information
What specific frequency bands does your wireless outdoor receiver utilize?,Information
Are the signal boosters provided in the premium package rented or owned by the customer?,Information
How many days of grace period are allowed before a late payment fee is officially applied?,Information
Does the network infrastructure utilize CGNAT or are individual public IPs assigned?,Information
Is a physical signature required for the delivery of the monthly paper invoice?,Information
What are the environmental certifications of the hardware devices provided by your service?,Information
Can the admin password for the router be customized via the mobile application?,Information
Are there any restrictions on using your internet connection for hosting a private web server?,Information
How does the technician verification process work to ensure home security during visits?,Information
What is the maximum upload speed achievable on the 500mbps download tier?,Information
Are the promotional rates locked for the entire duration of the contract?,Information
"Does the ""unlimited"" plan have any hidden daily data consumption thresholds?",Information
What are the electrical power requirements for the fiber-to-the-home terminal?,Information
Is there a referral program that provides bill credits for bringing in new subscribers?,Information
How often are the public Wi-Fi hotspots updated for users with the mobile add-on?,Information
Are the terms of service available in multiple languages for international residents?,Information
What happens to the existing equipment if a subscriber moves to an uncovered area?,Information
Is there a dedicated portal for tracking the status of an ongoing technical ticket?,Information
Does the billing system provide an automated notification when a payment is successful?,Information
Could you please dispatch a technician to my apartment this Saturday before noon?,Request
Kindly reset my PPPoE credentials and send the new ones to my registered mobile number.,Request
I need my current subscription downgraded to the most basic plan starting next month.,Request
Please waive the late payment penalty on my account as I never received the invoice.,Request
Update my billing address immediately to reflect my new office location in Central Jakarta.,Request
Switch my router to bridge mode remotely so I can use my own mesh system.,Request
I’m asking for an immediate relocation of my fiber optic terminal to the second floor.,Request
Cancel the premium movie channel add-on from my package effective today.,Request
Please provide a formal letter of clearance for my account closure.,Request
Can you send a new power adapter for my modem as the current one is overheating?,Request
I'd like to sign up for the static IP service for my home server setup.,Request
Modify my Wi-Fi name and password to the details I’ve attached in this message.,Request
Please schedule a migration of my line from the old copper network to the new fiber line.,Request
Reactifate my internet connection now that the pending bill has been settled.,Request
I want to purchase two additional Wi-Fi extenders to be delivered to my home.,Request
Please enroll my account in the automatic credit card deduction program.,Request
Could you extend my payment deadline by three days due to a bank system error?,Request
Send a technician to replace the damaged fiber cable outside my house gate.,Request
I’m requesting a hardware upgrade to the latest Wi-Fi 6 router model.,Request
Please pause my internet service for 30 days while I am traveling abroad.,Request
Assign a different technician for my next visit as the previous one was unprofessional.,Request
Help me configure the parental control settings to block social media after 9 PM.,Request
I want to merge my two separate home accounts into a single billing profile.,Request
"Please enable the ""Guest Network"" feature on my gateway remotely.",Request
Kindly provide me with a physical copy of my signed contract for legal purposes.,Request
I’d like to upgrade my speed to the 1Gbps tier for the duration of the summer.,Request
Please whitelist my new gaming console's MAC address on your network.,Request
"Apply the ""New Year"" promo code to my account before the next billing cycle.",Request
I need a technician to help me set up the TV box with my home theater system.,Request
Please stop sending promotional SMS messages to my phone number.,Request
Swap my current ONT for one that has more than two LAN ports.,Request
I’m requesting a site survey for a new installation at my secondary property.,Request
Please send the last three months of payment receipts in a single PDF.,Request
Change my primary contact email address to my Gmail account instead.,Request
I need to schedule a service termination for the end of this current term.,Request
Please verify if my payment has been received and update my status.,Request
Could you help me set up a VLAN on the provided router for my office work?,Request
I want to exchange my reward points for a one-month speed boost.,Request
Please send an official technician to check for a possible signal leak in the building.,Request
Register my secondary phone number for the emergency SMS alert system.,Request
"i cant open my profile page, please fix this bug then i can pay",Problem
when the problem will be end? i need my internet connection,Information
My Wi-Fi signal keeps disappearing whenever I move to the dining room.,Problem
The internet light on my modem has been blinking red for the past two hours.,Problem
Why is my download speed only 5mbps when I’m on the 100mbps plan?,Problem
"Every time it rains, my connection drops and I have to restart the ONT.",Problem
"I can't access any international websites, though local sites are working fine.",Problem
What are the specific requirements for upgrading to a business-grade connection?,Information
Does the current monthly package price already include the router rental fee?,Information
Are there any planned maintenance activities in the South Jakarta area this weekend?,Information
How many devices can be connected to the standard gateway before performance drops?,Information
Please send a technician to relocate my modem from the bedroom to the living room.,Request
I need to change my registered billing email to my corporate address immediately.,Request
Kindly reset my account password and send the temporary link to my phone.,Request
Upgrade my current subscription to the Gamer’s Package starting next billing cycle.,Request
Please deactivate the premium movie channel add-on from my account effective today.,Request
The latency in my online games has jumped to 300ms since the last firmware update.,Problem
My streaming service keeps buffering even though the modem lights look normal.,Problem
I’ve noticed a physical crack on the fiber optic cable near my front door.,Problem
There is a strange buzzing sound coming from the power adapter whenever it's plugged in.,Problem
"My device shows ""Connected, No Internet"" despite multiple restarts today.",Problem
What is the standard compensation policy for a service outage lasting more than 24 hours?,Information
Are there any restrictions on using the connection for high-volume peer-to-peer file sharing?,Information
How long is the typical waiting list for a technician visit in the West Jakarta region?,Information
Is the hardware provided by your service compatible with WPA3 security encryption?,Information
What are the tax implications if I switch from a personal to a professional business account?,Information
Please whitelist the following MAC addresses for my home security camera system.,Request
Dispatch a team to fix the hanging cables in front of my house before they snap.,Request
I want to schedule a temporary service suspension for my three-month vacation.,Request
Add the static IP feature to my current plan and bill it to the same credit card.,Request
Kindly provide a breakdown of my usage for the last six months in an Excel file.,Request
Can you tell me how to cancel my plan?,Information
I want to cancel my plan right now.,Request
I've been trying to cancel but your website is broken.,Problem
how to check invoice?,Information
what is the discount package this month?,Information
"i want to relocate my house, when you want to send tecnician here?",Information
"i want to relocate my house, send me a technician quickly as posible",Request
When is the due date for the January billing cycle?,Information
Does the internet service come with a static or dynamic IP address?,Information
Is my current address covered by your fiber optic network?,Information
Please enroll my account in the monthly paperless billing program.,Request
My Wi-Fi signal is very weak and doesn't reach the bedroom.,Problem
The power adapter for my router is getting dangerously hot and smells burnt.,Problem
My data quota did not reset today even though it is the start of the month.,Problem
There is a physical break in the fiber cable caused by a fallen tree branch.,Problem
I was charged twice on my credit card for this month's subscription.,Problem
I can only connect one device to the Wi-Fi; others are getting IP errors.,Problem
The LAN port on the back of my modem seems to be loose and non-functional.,Problem
My billing amount is much higher than the price agreed upon in my contract.,Problem
"The DNS server is not responding, preventing me from browsing any sites.",Problem
Is there a list of available cable TV channels for the Basic plan?,Information
How can I verify if my payment was successful through the mobile app?,Information
What is the procedure for a temporary service suspension?,Information
Is there an official app for managing my Wi-Fi settings remotely?,Information
What does the red blinking light on the modem signify?,Information
Are the Wi-Fi extenders rented or are they a one-time purchase?,Information
How can I update my primary contact phone number in your database?,Information
Is it possible to use my own fiber-to-the-home terminal?,Information
What documentation is needed for a change of account ownership?,Information
How do I claim a refund for a double payment on my bill?,Information
Does your company provide parental control features at the network level?,Information
What are the benefits of the dedicated IP add-on for work from home?,Information
What are the steps to set up a bridge mode on the provided router?,Information
What is the range of the Wi-Fi signal in an open indoor space?,Information
I would like to upgrade my Wi-Fi to the new Wi-Fi 6 standard equipment.,Request
Can you dispatch someone to replace the broken fiber optic connector?,Request
Please pause my subscription for 60 days while I am working overseas.,Request
I want to apply for the 'Family Bundle' promo I saw on your website.,Request
Please activate the international roaming feature for my mobile account.,Request
I want to request a refund for the period when the service was down.,Request
The internet connection has been extremely unstable for the past three days.,Problem
The technician who came today left without actually fixing the issue.,Problem
The TV box shows a 'No Signal' error on every channel I try to watch.,Problem
My data quota didn't reset on the 1st of the month as it was supposed to.,Problem
I was charged for a premium channel that I never requested or activated.,Problem
The Wi-Fi signal is unable to penetrate even a single wall in my house.,Problem
The payment I made through the app is not reflecting in my account status.,Problem
The fiber optic socket on my wall has come loose and the wire is exposed.,Problem
My bill this month is double the usual amount without any explanation.,Problem
The Wi-Fi range has significantly decreased since the last firmware update.,Problem
I keep getting 'IP Address Conflict' errors on all my connected devices.,Problem
The fiber cable outside my house is hanging too low and might be hit by a truck.,Problem
I can't connect more than 3 devices even though I have the Pro plan.,Problem
The remote control for the TV box is not responding to any button presses.,Problem
The activation of my new line has been pending for over a week now.,Problem
I am unable to access my office VPN using your internet connection.,Problem
My router settings keep reverting to factory defaults after every power cut.,Problem
The QR code for payment on the invoice is invalid and cannot be scanned.,Problem
The installation team left a huge mess and didn't finish the cable casing.,Problem
Is it possible to have two different internet accounts registered under the same house address?,Information
How can I find out if my current router hardware is already outdated for the new 300mbps speed?,Information
What are the criteria for a customer to be eligible for a hardware upgrade to Wi-Fi 6?,Information
Can I get a detailed breakdown of the 'miscellaneous fees' appearing on my January invoice?,Information
Is there a way to verify the technician's digital identity before I let them into my home?,Information
How do I differentiate between a scheduled maintenance and a sudden fiber optic cable cut?,Information
Is there a specific distance limit for the fiber drop cable before extra costs are applied?,Information
Can I see my real-time bandwidth consumption per device through the web gateway?,Information
Is it possible to change the primary billing email without having the old email access?,Information
Can I request a speed test from the central server to verify my line's physical health?,Information
Is it possible to set up a Guest Wi-Fi that has a separate speed limit from the main one?,Information
Is it possible to get a physical receipt for payments made through the Shopee application?,Information
How do I check if my payment has been successfully reconciled in your billing system?,Information
What are the power consumption specs of the modem to calculate my monthly electric bill?,Information
Is it possible to add a second phone line to my existing fiber optic subscription?,Information
Is there a way to block certain MAC addresses from the router without changing the password?,Information
Can I check the signal strength of my ONT remotely through the provider's dashboard?,Information
What are the consequences if I lose the original remote control for the TV box?,Information
Can I still use the landline phone if the electricity in my house goes out?,Information
How can I find out the results of the network survey for my new housing complex?,Information
How do I set up a parental control filter for adult content at the network level?,Information
Is there a way to see the history of technician visits to my house in the last year?,Information
Is it possible to request a specific brand of modem for my new installation?,Information
Is there a loyalty tier for customers who have never had a late payment record?,Information
What is the maximum length of a LAN cable before I start seeing a drop in speed?,Information
Is there a limitation on how many times I can change my Wi-Fi password in a month?,Information
Can I find out the technician's name before they arrive at my house for safety?,Information
Is it possible to upgrade my plan just for one month for a specific event?,Information
How do I reset the TV box's PIN code if I have forgotten the default one?,Information
What are the safety certifications of the power adapter provided with the modem?,Information
Is it possible to use the TV box without an internet connection for local channels?,Information
What are the supported DNS over HTTPS (DoH) providers for this router model?,Information
Is it possible to change the billing date from the 1st to the 15th of each month?,Information
How do I know if the slow speed is due to a crowded Wi-Fi channel in my apartment?,Information
Is it possible to have the router installed in a basement with thick concrete walls?,Information
Can I get a technical manual for the ONT to understand the LED light patterns?,Information
How do I verify the current promotion code before I apply it to my account?,Information
Can I see the uptime percentage of my connection for the last thirty days?,Information
Is it possible to hide my SSID so neighbors cannot see my Wi-Fi name?,Information
Kindly dispatch a technician to my apartment this Saturday for a signal check.,Request
Would it be possible to terminate my current subscription by the end of this mon...,Request
Could you reset the PPPoE credentials and forward the new ones to my phone?,Request
Is there any chance to upgrade my speed to the 200mbps tier effective today?,Request
Please have a team fix the sagging fiber cables near my driveway entrance.,Request
